Issue key,Custom field (Release Note),Summary,Custom field (Git Pull Request),Custom field (External Issue URL),Components
AC-10953,"The system now correctly removes the tier price of a product when it is converted from a simple product to a configurable product, ensuring accurate price display on the frontend. Previously, the tier price of a configurable product was not deleted when a product was converted from a simple product to a configurable product, leading to a mismatch in the displayed price.",Tier Price is not being deleted from Configurable Product,<https://github.com/magento/magento2/pull/38427>,https://github.com/magento/magento2/issues/38390,Catalog
AC-10971,"PHP 8.2/8.3, only one dependency fails the php linter at the moment: league/flysystem",https://github.com/magento/magento2/issues/38415,"The system now supports PHP 8.2/8.3 by updating the league/flysystem package to version 3.0.20, ensuring no PHP linting errors occur. Previously, running PHP files through the PHP linter with PHP 8.3 resulted in linting errors in the league/flysystem package.",<https://github.com/magento/magento2/commit/672a2e61>,Framework
AC-10990,"The system now correctly saves customer addresses even when the region field is not displayed, preventing a crash during the save process. Previously, attempting to add or edit an address without a displayed region field would result in an exception error.",my account add address crash on save,<https://github.com/magento/magento2/pull/38407>,https://github.com/magento/magento2/issues/38406,Account
AC-10991,"The system now optimizes queries from related, upsell, and cross-sell blocks, improving the performance and preventing the site from going down due to excessive queries. Previously, the system could become overloaded with queries from these blocks, causing significant slowdowns and potentially bringing the site down.",Randomly getting flooded with queries from related / upsell / crosssell blocks and price indexing ,<https://github.com/magento/magento2/pull/38050>,https://github.com/magento/magento2/issues/36667,Framework
AC-10994,"The system now correctly uses the store ID associated with an order when rendering the order address, ensuring that addresses are formatted correctly according to their respective store ID. Previously, the system was incorrectly using the current store ID, which could lead to incorrect address formatting in cases where multiple order emails from different stores needed to be sent.",[Issue] Wrong store ID used in Order Address Renderer,<https://github.com/magento/magento2/pull/37932>,https://github.com/magento/magento2/issues/38412,Order
AC-11388,Verify Deleting Folder Deletes S3 and Local File Storage Directories,"","","",Framework
AC-11423,Commerce no longer logs the following exception in the exception.log whenever a shopper or merchant visits either the storefront or Admin: `main.CRITICAL: Exception: Warning: Trying to access array offset on value of type null in /vendor/magento/framework/View/Element/Html/Calendar.php on line 114 in /vendor/magento/framework/App/ErrorHandler.php:62`. [GitHub-38214](https://github.com/magento/magento2/issues/38214),Exception: Warning: Trying to access array offset in... -> Calendar.php since upgrade to ICU 74.1 (PHP Intl),<https://github.com/magento/magento2/pull/38364>,https://github.com/magento/magento2/issues/38214,Framework
AC-11474,"The system now provides more accurate status messages for the maintenance mode command, changing the status from ""active"" to ""enabled"" and from ""not active"" to ""disabled"". Previously, the status message for the maintenance mode command was displayed as ""active"" or ""not active"", which could lead to confusion.","[Issue] Changed ""active"" to ""enabled"" in bin/magento maintenance:status command",<https://github.com/magento/magento2/pull/38410>,https://github.com/magento/magento2/issues/38486,Other Developer Tools
AC-11476,"The system now correctly identifies the 'method' attribute in form submissions, even when an element named 'method' is present in the form. This ensures accurate processing of customer data. Previously, if a form element was named 'method', it would interfere with the identification of the 'method' attribute in form submissions, leading to potential issues with customer data handling.",[Issue] Fix issues with Customer Data when form contains element with name `method`,<https://github.com/magento/magento2/pull/38449>,https://github.com/magento/magento2/issues/38484,Framework
AC-11489,"The PHPDocs for the \Magento\Framework\Data\Collection::getItemById method have been updated to include null as a possible return type, addressing issues with static analysis tools. Previously, the method's PHPDocs did not specify null as a possible return type, leading to warnings or errors in static analysis when the method was used in conditional statements.",[Issue] Fix PHPDocs for \Magento\Framework\Data\Collection::getItemById,<https://github.com/magento/magento2/pull/38439>,https://github.com/magento/magento2/issues/38485,Framework
AC-11491,[Skip] Need to be Un-skip again Integration test,"",Un-skip all integration test  which are skipped in this PR - https://github.com/magento-commerce/magento2ce/pull/8811/,<https://github.com/magento/magento2/commit/493e01f5>,Test framework
AC-11588,"The system now correctly validates data and hides the ""Import"" button during the product import process with ""Replace"" behavior, preventing any unintended data replacement. Previously, the system incorrectly validated the data and displayed the ""Import"" button, leading to potential data inconsistencies.",Data validation is success and Import button is present during Import products with Replace behavior,<https://github.com/magento/magento2/commit/0574ac23>,"",Admin UI
AC-11593,"The system now supports the latest Google Maps API version 3.56, allowing users to successfully add a Map content block from the PageBuilder menu to the stage without encountering any errors. Previously, users were unable to add a Map content block due to compatibility issues with the Google Maps API version, resulting in a ""something went wrong"" error message.",Google google API key is not working while adding Map with attributes,<https://github.com/magento/magento2/commit/0574ac23>,"",Inventory / MSI
AC-11641,"The system now correctly omits the shipping address and shipping method from the failed payment email template for virtual products, ensuring only relevant information is included in the email. Previously, the failed payment email for virtual products incorrectly included the shipping address and shipping method.",[Issue] [Checkout] Depend directives updated in failed payment email template,<https://github.com/magento/magento2/pull/32511>,https://github.com/magento/magento2/issues/32781,Cart & Checkout
AC-11651,"The system now allows the modification of previously read-only properties in the LoggerProxy's __wakeup method, ensuring smooth operation without forcing users to employ a workaround. Previously, an attempt to reassign the value of a read-only property in the LoggerProxy's __wakeup method would cause issues.",Magento trying to modify read-only property in __wakeup method of LoggerProxy,<https://github.com/magento/magento2/commit/c8f87c25>,https://github.com/magento/magento2/issues/38526,Framework
AC-11654,"The system now correctly recognizes JSON column types in the database schema during integration tests, preventing test failures due to a mismatch between the database schema and the declarative schema. Previously, the system incorrectly identified JSON column types as LONGTEXT in MariaDB, causing integration tests to fail.",Integration test failing testDbSchemaUpToDate due to JSON column type,<https://github.com/magento/magento2/commit/ef81f5a2>,"",Test framework
AC-11673,Investigate php-amqplib/php-amqplib latest versions,"",Updated the latest version php-amqplib/php-amqplib :^3.x,<https://github.com/magento/magento2/commit/de4dfb8e>,Framework
AC-11681,Updated tinymce latest version in composer.json,[Issue] AC-2039 AC-1667 upgrade TinyMCE references,"<https://github.com/magento/magento2/pull/36543>, <https://github.com/magento/magento2/commit/b34c0a75>",https://github.com/magento/magento2/issues/38533,Framework
AC-11696,"The system now supports process fork for MView indexation, preventing errors during indexer execution when operating on multiple threads. Previously, running the ChangelogBatchWalker on multiple threads would lead to the deletion of tables used by other threads, causing an error during indexer execution.",ChangelogBatchWalker does not work in multiple threads,<https://github.com/magento/magento2/pull/38248>,https://github.com/magento/magento2/issues/38246,Framework
AC-11729,"The system now ensures that header processing is only executed once and only if the header value passes validation, enhancing security and preventing potential vulnerabilities. Previously, header processing was executed even if the header value did not pass validation, leading to potential vulnerabilities and unexpected behavior due to double processing of header values.",Magento_GraphQl execute headers processing even if the header value does not pass validation,<https://github.com/magento/magento2/commit/c8f87c25>,"",GraphQL
AC-11762,Update 2FA OTP window field with correct description and default value after BiC change,"","Updated command for the way of how otp_window period will be entered from now bin/magento config:set twofactorauth/google/otp_window VALUE
to bin/magento config:set twofactorauth/google/leeway VALUE","",Security
AC-11781,"The system now correctly names the variable that contains the amount of money that can still be refunded, preventing confusion during debugging. Previously, this variable was incorrectly named as totalRefund, which could lead to misunderstandings for developers.",[Issue] Rename wrongly named variable,<https://github.com/magento/magento2/pull/36205>,https://github.com/magento/magento2/issues/38609,Framework
AC-11798,"The system now correctly displays shipping prices in printed PDFs according to the tax configuration settings, ensuring consistency between the sales order invoice view page and the printed invoice. Previously, the shipping price displayed in the printed PDF was excluding tax, regardless of the tax configuration settings.",[Issue] Shipping price showing diffrent in printed pdf,"<https://github.com/magento/magento2/pull/38595>, <https://github.com/magento/magento2/commit/1bafc571>",https://github.com/magento/magento2/issues/38608,Order
AC-11804,"The system now correctly saves and displays the category description in the WYSIWYG editor when editing a category on the store view level. Previously, the WYSIWYG editor would appear empty after saving a category description on the store view level.",Category description WYSIWYG is empty on non default storeview,<https://github.com/magento/magento2/pull/38623>,https://github.com/magento/magento2/issues/38622,Catalog
AC-11808,Investiagte and upgrade Adobe Commerce Core dependencies list,"",Need upgrade Adobe Commerce Core dependencies list ,"",Framework
AC-11810,"The system now correctly displays the price of simple products when queried through the Order API, ensuring accurate data representation. Previously, the price of simple products was incorrectly displayed as zero in the API response.",Magento2.4.6-p4 Order API Simple Item missing price,"",https://github.com/magento/magento2/issues/38603,Pricing
AC-11811,"UPS REST ""A shipment cannot have a KGS/IN or LBS/CM or OZS/CM as its unit of measurements""","",UPS rates is visible in checkout and cart.,<https://github.com/magento/magento2/commit/9b1713d8>,Shipping
AC-11819,"The system now correctly caches pages when the MAGE_RUN_CODE parameter is set, ensuring optimal performance. Previously, pages were not being cached under these conditions, leading to potential performance issues.",Built-in FPC cache is broken in 2.4.7 for some configurations,"<https://github.com/magento/magento2/pull/38646>, <https://github.com/magento/magento2/commit/0c53bbf7>",https://github.com/magento/magento2/issues/38626,Framework
AC-11829,"The system now consistently handles exceptions between developer and production modes, preventing unexpected redirection to the login page when an exception is thrown. Previously, an inconsistency in exception handling could cause a redirect to the login page in production mode instead of displaying the exception message.",[Issue] Fix exception handling inconsistency between developer and production modes,<https://github.com/magento/magento2/pull/37712>,https://github.com/magento/magento2/issues/38639,Framework
AC-11852,"The system now labels the section for tokenizable account payment methods as ""Account"" instead of ""PayPal Account"" in the Stored Payment Methods page, making it more representative of its function. Previously, this section was specifically labeled as ""PayPal Account"", which was misleading when other tokenizable account payment methods were added.",Replace 'PayPal Account' translation in token_list.phtml,<https://github.com/magento/magento2/pull/37959>,https://github.com/magento/magento2/issues/35622,Framework
AC-11855,"The system now allows the loading of the font 'https://www.paypalobjects.com/webstatic/mktg/2014design/font/PP-Sans/PayPalSansBig-Medium.woff' without violating the Content Security Policy directive, ensuring the correct display of the Paylater Popup. Previously, the font was refused to load due to a violation of the Content Security Policy directive, causing display issues with the Paylater Popup.",[Issue] Missing Font CSP Paylater Popup,<https://github.com/magento/magento2/pull/37401>,https://github.com/magento/magento2/issues/38624,Security
AC-11874,"The ProductRepository class now maintains backward compatibility by restoring the Initialization Helper class as the second parameter, ensuring that modules extending from this class function as expected. Previously, the removal of the Initialization Helper from the constructor in the ProductRepository class resulted in a loss of backward compatibility, forcing users to employ a workaround.",Backward compatibility has been lost on Magento\Catalog\Model\ProductRepository class,"",https://github.com/magento/magento2/issues/38669,Framework
AC-11876,"The system now correctly validates sales rules, preventing the application of a coupon code to a cart when the product condition does not match any product name. Previously, a sales rule could be applied and a discount given on the shipping amount even when the product condition did not match any product name.",[Issue] Sales Rules regression in 2.4.7,<https://github.com/magento/magento2/commit/0574ac23>,https://github.com/magento/magento2/issues/38671,Cart & Checkout
AC-11878,"The system now correctly handles integer values in the GetCustomSelectedOptionAttributes function when executing a GraphQL query, preventing any type-related errors. Previously, launching a GraphQL query that used GetCustomSelectedOptionAttributes with an integer argument resulted in a type error.",[Graphql] Type issue in 2.4.7,<https://github.com/magento/magento2/pull/38663>,https://github.com/magento/magento2/issues/38662,APIs
AC-11905,"The system now correctly handles empty LESS files during static content deployment, displaying an ""LESS file is empty"" error message. Previously, an incorrect type error was thrown when encountering an empty LESS file during deployment.",[Issue] Static content deploy - Type error,<https://github.com/magento/magento2/pull/38683>,https://github.com/magento/magento2/issues/38682,Framework
AC-11907,"The system now successfully creates and functions URL rewrites with accents, preventing infinite loading during the saving process. Previously, adding a URL rewrite with an accent caused an infinite loading issue.",Adding URL rewrites with an accent causes infinite loading,<https://github.com/magento/magento2/commit/44cef3a9>,https://github.com/magento/magento2/issues/38692,SEO
AC-11911,jQuery/fileuploader css cleanup after migration to uppy library,"",Removed jQuery/fileUploader library because it has been migrated to Uppy library,<https://github.com/magento/magento2/commit/7cabfb46>,Framework
AC-11916,"[QPT] UPS REST ""A shipment cannot have a KGS/IN or LBS/CM or OZS/CM as its unit of measurements""","",UPS rates is visible in checkout and cart.,"",Shipping
AC-11919,"The system now correctly aligns the Page Actions Buttons to the right side of the sticky header in the admin panel, enhancing the professional look and feel. Previously, these buttons were incorrectly floating to the left side of the sticky header.",Admin: Page Actions Buttons floating left instead of right,<https://github.com/magento/magento2/commit/44cef3a9>,https://github.com/magento/magento2/issues/38701,Account
AC-11937,Update 2FA OTP window field with correct description and default value after BiC change,"","Updated command for the way of how otp_window period will be entered from now bin/magento config:set twofactorauth/google/otp_window VALUE
to bin/magento config:set twofactorauth/google/leeway VALUE","",Security
AC-11938,Ensure to UPS rates should visible in checkout and cart.,"UPS REST ""A shipment cannot have a KGS/IN or LBS/CM or OZS/CM as its unit of measurements""",<https://github.com/magento/magento2/commit/493e01f5>,https://github.com/magento/magento2/issues/38618,Shipping
AC-11983,"[QPT] UPS REST ""A shipment cannot have a KGS/IN or LBS/CM or OZS/CM as its unit of measurements""","",UPS rates is visible in checkout and cart.,"",Shipping
AC-11984,"[QPT] UPS REST ""A shipment cannot have a KGS/IN or LBS/CM or OZS/CM as its unit of measurements""","",UPS rates is visible in checkout and cart.,"",Shipping
AC-11992,"The system now includes the AdminClickAddOptionForBundleItemsActionGroup, enhancing the functionality of the admin panel. Previously, this action group was not available.",[Issue] [MFTF] Added AdminClickAddOptionForBundleItemsActionGroup,<https://github.com/magento/magento2/pull/30838>,https://github.com/magento/magento2/issues/30857,Product
AC-11993,"The system now correctly handles custom shipping methods without shipping rates validation rules, ensuring that the loader does not block the shipping methods after the postcode is changed in the shipping address during checkout. Previously, changing the postcode in the shipping address during checkout would cause the loader to block the shipping methods and not disappear when custom shipping methods without shipping rates validation rules were used.","[Issue] The loader blocks the shipping methods after the postcode is changed, shipping rates validation rules",<https://github.com/magento/magento2/commit/1bafc571>,https://github.com/magento/magento2/issues/38742,Cart & Checkout
AC-11999,"The system now correctly displays constructor parameters when executing the dev:di:info command, preventing any errors from occurring. Previously, executing this command resulted in an error due to a type mismatch in the argument.",dev:di:info error in magento 2.4.7,<https://github.com/magento/magento2/commit/0c53bbf7>,https://github.com/magento/magento2/issues/38740,Account
AC-12000,"The system now includes a new critical head block and moves critical CSS before assets, allowing for more customization and performance optimization in the frontend. Previously, the critical CSS was not positioned before the assets, limiting customization and optimization opportunities.",[Issue] Code cleanup and add new critical head block and move critical css before assets,<https://github.com/magento/magento2/pull/35580>,https://github.com/magento/magento2/issues/38748,Performance
AC-12002,"The system now ensures that there are no extra spaces in the link and script tags, providing cleaner and more efficient code. Previously, double spaces could be found between attributes in the link and script tags.",[Issue] [View] Removed extra space in link and script tag,<https://github.com/magento/magento2/pull/32919>,https://github.com/magento/magento2/issues/32920,Framework
AC-12015,ExtJs folder cleanup after migration to jsTree library,"",Removed extJs folder as the related functionality has been migrated to jsTree,<https://github.com/magento/magento2/commit/7cabfb46>,Framework
AC-12022,Upgrade monolog/monolog system dependency to the latest major version ,"","The system has been updated to use the latest major version of the ""monolog/monolog:^3.x"" library, ensuring compatibility and improved performance. Previously, the system was using an outdated version of the ""monolog/monolog"" library which could have led to potential issues and limitations.",<https://github.com/magento/magento2/commit/edcd0dcc>,Framework
AC-12023,Upgrade wikimedia/less.php dependency to the latest major version ,"","The system has been updated to use the latest major version 5.x of the ""wikimedia/less.php"" library, ensuring compatibility and up-to-date functionality. Previously, the system was using an outdated version of the library which could have led to security issues.",<https://github.com/magento/magento2/commit/edcd0dcc>,Framework
AC-12024,Upgrade jquery/validate library dependency to the latest minor version,"",Upgrade jquery/validate library dependency to the latest minor version 1.20.0,<https://github.com/magento/magento2/commit/de4dfb8e>,Framework
AC-12025,Upgrade moment.js system dependency to the latest minor version,"",Upgrade moment.js system dependency to the latest minor version 2.30.1,<https://github.com/magento/magento2/commit/de4dfb8e>,Framework
AC-12060,"The system now correctly calculates taxes when only a zip code is provided, ensuring accurate tax estimations for both Luma (Rest API) and GraphQL. Previously, only shipping estimates were calculated and taxes were not included when only a zip code was provided.",Both Luma (Rest API) and Graphql  does not calculate taxes when only Zip code is provided.,"","","APIs, GraphQL, Tax"
AC-12076,"The system now correctly uses the words ""item"" and ""items"" in the layered navigation filter item, enhancing the clarity and accuracy of the filter descriptions. Previously, these words were used incorrectly, leading to potential confusion for users navigating the filter options.",[Issue] Fix wording of filter item on layered navigation,<https://github.com/magento/magento2/pull/37852>,https://github.com/magento/magento2/issues/38789,Catalog
AC-12119,"The Instant Purchase feature incorrectly selected the more expensive In-Store Delivery option for configurable products instead of the cheapest Flat Rate method. This fix ensures that the correct shipping method is chosen based on the actual price.""","Instant purchase ""cheapest shipping"" broken for configurable products","<https://github.com/magento/magento2/pull/38819>, <https://github.com/magento/magento2/commit/29fe9097>",https://github.com/magento/magento2/issues/38811,"Cart & Checkout, Shipping"
AC-12128,Prototype.js security vulnerability fix CVE-2020-27511,"","The system has been updated to address the security vulnerability CVE-2020-27511 in Prototype.js 1.7.3, enhancing the overall security of the system. Prior to this update, the system was susceptible to a Regular Expression Denial of Service (ReDOS) through stripping crafted HTML tags.",<https://github.com/magento/magento2/commit/de4dfb8e>,UI Framework
AC-12128,"The system has been updated to address the security vulnerability CVE-2020-27511 in Prototype.js 1.7.3, enhancing the overall security of the system. Prior to this update, the system was susceptible to a Regular Expression Denial of Service (ReDOS) through stripping crafted HTML tags.",Prototype.js security vulnerability fix CVE-2020-27511,<https://github.com/magento/magento2/commit/de4dfb8e>,"",UI Framework
AC-12162,Ensure all validation should work after upgrade moment.js system dependency to the latest minor version,Front end - Date of birth validation is failing in Customer creation page,<https://github.com/magento/magento2/commit/de4dfb8e>,"",Customer/ Customers
AC-12164,"The system now correctly applies the configured date format to product custom options of type Date, ensuring that the date format is displayed correctly on the front-end. Previously, changes to the date format configuration did not reflect on the front-end for product custom options of type Date.",Date and Time Format for Custom Option Not Working,<https://github.com/magento/magento2/pull/38925>,https://github.com/magento/magento2/issues/32990,Catalog
AC-12167,"The system now accepts product image uploads with capital letter file extensions, ensuring a smooth product creation process. Previously, image uploads with capital letter file extensions were refused, forcing users to change the file extension to lowercase.",[Bug] Magento 2.4.7 doesn't allow product photo's with capital letter file extension.,<https://github.com/magento/magento2/commit/c8f87c25>,https://github.com/magento/magento2/issues/38831,Admin UI
AC-12170,"The system now enables the discount code/coupon input field on the checkout page for virtual and downloadable products, allowing users to apply discount codes as expected. Previously, the discount code/coupon input was disabled, and the button title text displayed as ""Cancel coupon"", preventing users from applying discount codes.",Coupon code feature is not working properly in the checkout page on Magento 2.4.7,<https://github.com/magento/magento2/commit/1bafc571>,https://github.com/magento/magento2/issues/38826,Cart & Checkout
AC-12172,"The system now correctly imports product data with custom options of type 'file', ensuring that all provided file extensions are displayed and the price for the custom option is included. Previously, during product import, if a custom option of type 'file' was provided with more than one file extension, only the first extension was displayed and the price for the custom option was missing.",Issue at product import when provided with custom options-type: file (Created Product does not contain price for custom-option and show only the first file type extension provided),<https://github.com/magento/magento2/pull/38926>,https://github.com/magento/magento2/issues/38805,Import / export
AC-12176,"The system now correctly handles MySQL host configuration that includes port information, ensuring successful theme compilation. Previously, theme compilation would fail if the MySQL host configuration in the database connection included port information.",Theme compilation breaks when mysql host contains port information,<https://github.com/magento/magento2/pull/38842>,https://github.com/magento/magento2/issues/38799,Performance
AC-12189,"The system now generates less/css sourcemaps without the /pub prefix for paths when using grunt, eliminating the need for a workaround in the webserver configuration. Previously, the use of the /pub prefix in sourcemaps paths required a specific configuration in the webserver to function correctly.",Grunt Less uses pub/ prefix for sourcemaps,<https://github.com/magento/magento2/pull/38840>,https://github.com/magento/magento2/issues/38837,UI Framework
AC-12267,Support connection retries for Redis session and compatible with colinmollenhour/php-redis-session-abstract v2.0.0,"",Updated latest version of colinmollenhour/php-redis-session-abstract v2.0.0 compatible with adobe commerce,<https://github.com/magento/magento2/commit/672a2e61>,Framework
AC-12268,Upgrade league/flysystem Composer dependencies to latest version,"",Upgrade the 2.x league/flysystem Composer dependencies to latest version 3.x,"",Framework
AC-12283,"The system now successfully completes the static content deployment process when the Magento_CSP module is enabled and ""dev/js/translate_strategy"" is set to ""embedded"", without triggering the ""Area code not set"" error. Previously, under these conditions, the static content deployment process would fail with an ""Area code not set"" error.","""Area code not set"" after update to 2.4.5-p8",<https://github.com/magento/magento2/pull/38922>,https://github.com/magento/magento2/issues/38845,Content
AC-12309,Update user documentation for two-factor authentication (2FA) to change otp_window command,"",Update user documentation for two-factor authentication (2FA) to change OTP_WINDOW settings command as per: https://jira.corp.adobe.com/browse/AC-11762,"",Security
AC-12571,"","Navigating in the categories tree leads to errors in Redis: ""Redis session exceeded concurrent connections""",<https://github.com/magento/magento2/commit/0611e750>,https://github.com/magento/magento2/issues/38851,Other Developer Tools
AC-12594,"The system now uses the compiled configuration for generated data instead of the general configuration, reducing network transfer and overhead of data that depends on a certain version of code. This change prevents cache overriding in shared instances during container swapping, leading to improved stability and reduced downtime. Previously, certain core classes used shared config type, which could lead to cache overriding or application downtime due to differences in code versions across multiple servers.",[Issue] Use compiled config for generated data instead of general config,<https://github.com/magento/magento2/pull/29954>,https://github.com/magento/magento2/issues/38785,Framework
AC-12597,"The system now removes references to files from extjs which were previously removed, eliminating errors in the browser's console and the system log file. Previously, these references were causing errors due to the absence of the referenced files.",[Issue] Remove references to files from extjs which got removed in e1ccdb…,<https://github.com/magento/magento2/pull/38951>,https://github.com/magento/magento2/issues/38960,Framework
AC-12715,Update laminas composer dependencies upgrading to latest version,"","The system now supports the latest versions of laminas composer dependencies:
laminas/laminas-servicemanager
laminas/laminas-server
laminas/laminas-stdlib
laminas/laminas-validator
ensuring compatibility and up-to-date functionality. Previously, updating to the latest versions of these dependencies could cause backward incompatibility issues and test failures.",<https://github.com/magento/magento2/commit/b34c0a75>,Framework
AC-12750,The removal of ExtJs is logging error in browser console log and magento log,"","","",Framework
AC-12778,"The system now correctly uses the sprintf function with the appropriate number of placeholders, enhancing code cleanliness and consistency. Previously, the sprintf function was incorrectly used with an extra argument, which did not cause any major issues but was not the correct usage.","[Issue] Minor cleanup: fixed wrong usage of sprintf, it only takes 2 placeholders here and w…",<https://github.com/magento/magento2/pull/38628>,https://github.com/magento/magento2/issues/39062,Framework
AC-12823,Investigate the unit test failure due to phpunit patch update during component upgrade,"","",<https://github.com/magento/magento2/commit/b34c0a75>,Framework
AC-12866,Remove Deprecations- PhpUnit10 Integration Tests,"",Resolve the PHPUnit Deprecations,<https://github.com/magento/magento2/commit/edcd0dcc>,Framework
