Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components,is_magento
AC-10738,Varnish configuration does not exclude all marketing parameters,https://github.com/magento/magento2/issues/38298,"The system now correctly excludes all common marketing parameters in the Varnish configuration, ensuring accurate tracking and analytics. Previously, certain marketing parameters such as gad_source, srsltid, and msclkid were not excluded, leading to potential inaccuracies in data collection.",<https://github.com/magento/magento2/pull/39188>,Framework,true
AC-10750,Inventory update of Configurable Product fails when database uses prefixes,https://github.com/magento/magento2/issues/38045,"The system now correctly updates the inventory of configurable products when the database uses prefixes, preventing any error messages and ensuring the correct quantity is saved. Previously, an error would occur when trying to save the inventory quantity for simple products within a configurable product if the database was using prefixes.","",Inventory / MSI,true
AC-10757,"[Issue] Fixed typo in tracking.phtml - renamed JS-functions ""currier"" to ""carrier""",https://github.com/magento/magento2/issues/34523,"The system now correctly uses the term ""carrier"" instead of the misspelled ""currier"" in the JavaScript handler functions used in the order tracking template, ensuring proper function naming and code clarity. Previously, the misspelled term ""currier"" was used, leading to potential confusion and inconsistency in the codebase.",<https://github.com/magento/magento2/pull/33414>,Shipping,true
AC-10782,Customer address form allows random code in the name fields,https://github.com/magento/magento2/issues/38331,"The system now validates the input in the First Name and Last Name fields in the customer address form, preventing the use of random code. Previously, the system allowed the use of random code in these fields without throwing an error.",<https://github.com/magento/magento2/pull/38345>,Account,true
AC-10826,Storefront Bundle Checkbox Validation Error message count more than 1,"","The system now displays only one validation error message when the 'Add to Cart' button is clicked without selecting any checkbox options for a bundled product. Previously, the system was displaying multiple validation error messages for each unselected checkbox.",<https://github.com/magento/magento2/commit/3ea26621>,Bundle,true
AC-10828,Backend order overview screen: Backordered quantity not visible on order item level,https://github.com/magento/magento2/issues/38252,"The system now displays the number of backordered items in the quantity column on the backend order overview screen. This ensures that users can accurately track the status of all items in an order. Previously, the quantity column only showed the number of items that were ordered, invoiced, and shipped, but did not display the number of backordered items.",<https://github.com/magento/magento2/pull/38320>,Order,true
AC-10838,Catalog search index process error indexation process,https://github.com/magento/magento2/issues/38254,"The system now successfully completes the re-index command without encountering any errors, regardless of the libxml version compiled with PHP. Previously, running the re-index command resulted in a ""Catalog Search index process error during indexation process"" error when PHP was compiled with certain versions of libxml.","<https://github.com/magento/magento2/pull/38553>, <https://github.com/magento/magento2/commit/0574ac23>",Framework,true
AC-10845,Pagebuilder banner image not visible in gallery,"","The system now correctly displays banner images uploaded in newly created folders in the Pagebuilder gallery, eliminating previous console errors. Prior to this fix, banner images were not visible in the gallery if they were uploaded in a new folder, causing a console error.",<https://github.com/magento/magento2/commit/c8f87c25>,Content,true
AC-10886,admin Password update.,https://github.com/magento/magento2/issues/38352,"",<https://github.com/magento/magento2/commit/4bca5dfe>,Account,true
AC-10910,Cleanup of cron_schedule database table doesn't cleanup non-existing jobs,https://github.com/magento/magento2/issues/38217,"The system now automatically cleans up the cron_schedule database table, removing entries for jobs that no longer exist in the system. This ensures optimal performance by maintaining a minimal number of rows in the table. Previously, entries for jobs from inactive or removed modules were not cleaned up, leading to unnecessary data accumulation in the cron_schedule table.",<https://github.com/magento/magento2/pull/38693>,Catalog,true
AC-10941,"Added created_at, status and grand_total filters to customer Orders query and fixed multiple filters failure",https://github.com/magento/magento2/issues/38392,"The system now supports the use of created_at, status, and grand_total filters in customer Orders queries, and has resolved an issue where multiple filters were not being applied correctly. Previously, the system did not support these filters and would fail to apply all filters when more than one was used in a query.",<https://github.com/magento/magento2/pull/36949>,Framework,true
AC-10947,ProductRepository function GetById does not create the correct cache key,https://github.com/magento/magento2/issues/38384,"The system now correctly creates a cache key in the ProductRepository's function GetById, regardless of whether the store ID is passed as a string or an integer. This ensures that the product is retrieved from memory on subsequent calls, improving performance. Previously, the system would retrieve the product from the database each time the function was called, even with the same parameters, due to incorrect cache key creation.",<https://github.com/magento/magento2/pull/38433>,Product,true
AC-10953,Tier Price is not being deleted from Configurable Product,https://github.com/magento/magento2/issues/38390,"The system now correctly removes the tier price of a product when it is converted from a simple product to a configurable product, ensuring accurate price display on the frontend. Previously, the tier price of a configurable product was not deleted when a product was converted from a simple product to a configurable product, leading to a mismatch in the displayed price.",<https://github.com/magento/magento2/pull/38427>,Catalog,true
AC-10990,my account add address crash on save,https://github.com/magento/magento2/issues/38406,"The system now correctly saves customer addresses even when the region field is not displayed, preventing a crash during the save process. Previously, attempting to add or edit an address without a displayed region field would result in an exception error.",<https://github.com/magento/magento2/pull/38407>,Account,true
AC-10991,Randomly getting flooded with queries from related / upsell / crosssell blocks and price indexing,https://github.com/magento/magento2/issues/36667,"The system now optimizes queries from related, upsell, and cross-sell blocks, improving the performance and preventing the site from going down due to excessive queries. Previously, the system could become overloaded with queries from these blocks, causing significant slowdowns and potentially bringing the site down.",<https://github.com/magento/magento2/pull/38050>,Framework,true
AC-10994,[Issue] Wrong store ID used in Order Address Renderer,https://github.com/magento/magento2/issues/38412,"The system now correctly uses the store ID associated with an order when rendering the order address, ensuring that addresses are formatted correctly according to their respective store ID. Previously, the system was incorrectly using the current store ID, which could lead to incorrect address formatting in cases where multiple order emails from different stores needed to be sent.",<https://github.com/magento/magento2/pull/37932>,Order,true
AC-11423,Exception: Warning: Trying to access array offset in... -> Calendar.php since upgrade to ICU 74.1 (PHP Intl),https://github.com/magento/magento2/issues/38214,Commerce no longer logs the following exception in the exception.log whenever a shopper or merchant visits either the storefront or Admin: `main.CRITICAL: Exception: Warning: Trying to access array offset on value of type null in /vendor/magento/framework/View/Element/Html/Calendar.php on line 114 in /vendor/magento/framework/App/ErrorHandler.php:62`. [GitHub-38214](https://github.com/magento/magento2/issues/38214),<https://github.com/magento/magento2/pull/38364>,Framework,true
AC-11427,[Issue] Inconsistent labels for attributes in marketing rules,https://github.com/magento/magento2/issues/31232,The system now correctly populate the labels consistently for category and attribute options in cart price rule,<https://github.com/magento/magento2/pull/31231>,Admin UI,true
AC-11474,"[Issue] Changed ""active"" to ""enabled"" in bin/magento maintenance:status command",https://github.com/magento/magento2/issues/38486,"The system now provides more accurate status messages for the maintenance mode command, changing the status from ""active"" to ""enabled"" and from ""not active"" to ""disabled"". Previously, the status message for the maintenance mode command was displayed as ""active"" or ""not active"", which could lead to confusion.",<https://github.com/magento/magento2/pull/38410>,Other Developer Tools,true
AC-11476,[Issue] Fix issues with Customer Data when form contains element with name `method`,https://github.com/magento/magento2/issues/38484,"The system now correctly identifies the 'method' attribute in form submissions, even when an element named 'method' is present in the form. This ensures accurate processing of customer data. Previously, if a form element was named 'method', it would interfere with the identification of the 'method' attribute in form submissions, leading to potential issues with customer data handling.",<https://github.com/magento/magento2/pull/38449>,Framework,true
AC-11489,[Issue] Fix PHPDocs for \Magento\Framework\Data\Collection::getItemById,https://github.com/magento/magento2/issues/38485,"The PHPDocs for the \Magento\Framework\Data\Collection::getItemById method have been updated to include null as a possible return type, addressing issues with static analysis tools. Previously, the method's PHPDocs did not specify null as a possible return type, leading to warnings or errors in static analysis when the method was used in conditional statements.",<https://github.com/magento/magento2/pull/38439>,Framework,true
AC-11588,Data validation is success and Import button is present during Import products with Replace behavior,"","The system now correctly validates data and hides the ""Import"" button during the product import process with ""Replace"" behavior, preventing any unintended data replacement. Previously, the system incorrectly validated the data and displayed the ""Import"" button, leading to potential data inconsistencies.",<https://github.com/magento/magento2/commit/0574ac23>,Admin UI,true
AC-11592,[Issue] Allow only valid preferences during setup:di:compile,https://github.com/magento/magento2/issues/38517,"The system now throws an error during the setup:di:compile command if a preference is created for a class that does not exist or is specifically excluded, ensuring that only valid preferences are allowed. Previously, these scenarios would fail silently, potentially rendering any plugins associated with the original classes useless.",<https://github.com/magento/magento2/pull/33161>,Framework,true
AC-11593,Google google API key is not working while adding Map with attributes,"","The system now supports the latest Google Maps API version 3.56, allowing users to successfully add a Map content block from the PageBuilder menu to the stage without encountering any errors. Previously, users were unable to add a Map content block due to compatibility issues with the Google Maps API version, resulting in a ""something went wrong"" error message.",<https://github.com/magento/magento2/commit/0574ac23>,Inventory / MSI,true
AC-11641,[Issue] [Checkout] Depend directives updated in failed payment email template,https://github.com/magento/magento2/issues/32781,"The system now correctly omits the shipping address and shipping method from the failed payment email template for virtual products, ensuring only relevant information is included in the email. Previously, the failed payment email for virtual products incorrectly included the shipping address and shipping method.",<https://github.com/magento/magento2/pull/32511>,Cart & Checkout,true
AC-11651,Magento trying to modify read-only property in __wakeup method of LoggerProxy,https://github.com/magento/magento2/issues/38526,"The system now allows the modification of previously read-only properties in the LoggerProxy's __wakeup method, ensuring smooth operation without forcing users to employ a workaround. Previously, an attempt to reassign the value of a read-only property in the LoggerProxy's __wakeup method would cause issues.",<https://github.com/magento/magento2/commit/c8f87c25>,Framework,true
AC-11654,Integration test failing testDbSchemaUpToDate due to JSON column type,"","The system now correctly recognizes JSON column types in the database schema during integration tests, preventing test failures due to a mismatch between the database schema and the declarative schema. Previously, the system incorrectly identified JSON column types as LONGTEXT in MariaDB, causing integration tests to fail.",<https://github.com/magento/magento2/commit/ef81f5a2>,Test framework,true
AC-11681,[Issue] AC-2039 AC-1667 upgrade TinyMCE references,https://github.com/magento/magento2/issues/38533,Updated tinymce latest version in composer.json,"<https://github.com/magento/magento2/pull/36543>, <https://github.com/magento/magento2/commit/b34c0a75>",Framework,true
AC-11690,JoinProcessor caching issue,https://github.com/magento/magento2/issues/27504,"The system now correctly applies the JoinProcessor for each iteration, even with consecutive calls, ensuring accurate data retrieval. Previously, the JoinProcessor was incorrectly marked as already applied in consecutive iterations, leading to errors in data retrieval.",<https://github.com/magento/magento2/pull/37550>,Order,true
AC-11696,ChangelogBatchWalker does not work in multiple threads,https://github.com/magento/magento2/issues/38246,"The system now supports process fork for MView indexation, preventing errors during indexer execution when operating on multiple threads. Previously, running the ChangelogBatchWalker on multiple threads would lead to the deletion of tables used by other threads, causing an error during indexer execution.",<https://github.com/magento/magento2/pull/38248>,Framework,true
AC-11717,Magento 2 login inside the checkout with existing customer give console error in Firefox browser,https://github.com/magento/magento2/issues/38557,"The system now allows users to log in during the checkout process without encountering any console errors in the Firefox browser. Previously, attempting to log in as an existing customer during checkout would result in a console error in Firefox.",<https://github.com/magento/magento2/pull/39509>,Cart & Checkout,true
AC-11718,Redirect loop when URL have uppercase,https://github.com/magento/magento2/issues/38538,"The system now automatically converts uppercase characters in URLs to lowercase, preventing a redirect loop when accessing the homepage. Previously, having uppercase characters in the Secure Base URL would cause a continuous redirect loop when trying to access the homepage.",<https://github.com/magento/magento2/pull/38539>,Account,true
AC-11729,Magento_GraphQl execute headers processing even if the header value does not pass validation,"","The system now ensures that header processing is only executed once and only if the header value passes validation, enhancing security and preventing potential vulnerabilities. Previously, header processing was executed even if the header value did not pass validation, leading to potential vulnerabilities and unexpected behavior due to double processing of header values.",<https://github.com/magento/magento2/commit/c8f87c25>,GraphQL,true
AC-11755,middlename('s) not saved for guest accounts,https://github.com/magento/magento2/issues/38593,"The system now correctly saves the middle name for guest accounts during checkout, making it accessible in the email template. Previously, the middle name was not saved in the quote table and was not accessible in the email template for guest accounts.",<https://github.com/magento/magento2/pull/39067>,Account,true
AC-11781,[Issue] Rename wrongly named variable,https://github.com/magento/magento2/issues/38609,"The system now correctly names the variable that contains the amount of money that can still be refunded, preventing confusion during debugging. Previously, this variable was incorrectly named as totalRefund, which could lead to misunderstandings for developers.",<https://github.com/magento/magento2/pull/36205>,Framework,true
AC-11798,[Issue] Shipping price showing diffrent in printed pdf,https://github.com/magento/magento2/issues/38608,"The system now correctly displays shipping prices in printed PDFs according to the tax configuration settings, ensuring consistency between the sales order invoice view page and the printed invoice. Previously, the shipping price displayed in the printed PDF was excluding tax, regardless of the tax configuration settings.","<https://github.com/magento/magento2/pull/38595>, <https://github.com/magento/magento2/commit/1bafc571>",Order,true
AC-11804,Category description WYSIWYG is empty on non default storeview,https://github.com/magento/magento2/issues/38622,"The system now correctly saves and displays the category description in the WYSIWYG editor when editing a category on the store view level. Previously, the WYSIWYG editor would appear empty after saving a category description on the store view level.",<https://github.com/magento/magento2/pull/38623>,Catalog,true
AC-11809,[Issue] Pass custom attributes to current link via XML,https://github.com/magento/magento2/issues/38500,"The system now allows custom attributes to be passed to the current link via XML, ensuring that these attributes are correctly displayed even when the link is the current page. Previously, custom attributes were not displayed for the current page link due to the getAttributesHtml() method not being used for the current link.",<https://github.com/magento/magento2/pull/30070>,Framework,true
AC-11810,Magento2.4.6-p4 Order API Simple Item missing price,https://github.com/magento/magento2/issues/38603,"The system now correctly displays the price of simple products when queried through the Order API, ensuring accurate data representation. Previously, the price of simple products was incorrectly displayed as zero in the API response.","",Pricing,true
AC-11819,Built-in FPC cache is broken in 2.4.7 for some configurations,https://github.com/magento/magento2/issues/38626,"The system now correctly caches pages when the MAGE_RUN_CODE parameter is set, ensuring optimal performance. Previously, pages were not being cached under these conditions, leading to potential performance issues.","<https://github.com/magento/magento2/pull/38646>, <https://github.com/magento/magento2/commit/0c53bbf7>",Framework,true
AC-11829,[Issue] Fix exception handling inconsistency between developer and production modes,https://github.com/magento/magento2/issues/38639,"The system now consistently handles exceptions between developer and production modes, preventing unexpected redirection to the login page when an exception is thrown. Previously, an inconsistency in exception handling could cause a redirect to the login page in production mode instead of displaying the exception message.",<https://github.com/magento/magento2/pull/37712>,Framework,true
AC-11852,Replace 'PayPal Account' translation in token_list.phtml,https://github.com/magento/magento2/issues/35622,"The system now labels the section for tokenizable account payment methods as ""Account"" instead of ""PayPal Account"" in the Stored Payment Methods page, making it more representative of its function. Previously, this section was specifically labeled as ""PayPal Account"", which was misleading when other tokenizable account payment methods were added.",<https://github.com/magento/magento2/pull/37959>,Framework,true
AC-11855,[Issue] Missing Font CSP Paylater Popup,https://github.com/magento/magento2/issues/38624,"The system now allows the loading of the font 'https://www.paypalobjects.com/webstatic/mktg/2014design/font/PP-Sans/PayPalSansBig-Medium.woff' without violating the Content Security Policy directive, ensuring the correct display of the Paylater Popup. Previously, the font was refused to load due to a violation of the Content Security Policy directive, causing display issues with the Paylater Popup.",<https://github.com/magento/magento2/pull/37401>,Security,true
AC-11874,Backward compatibility has been lost on Magento\Catalog\Model\ProductRepository class,https://github.com/magento/magento2/issues/38669,"The ProductRepository class now maintains backward compatibility by restoring the Initialization Helper class as the second parameter, ensuring that modules extending from this class function as expected. Previously, the removal of the Initialization Helper from the constructor in the ProductRepository class resulted in a loss of backward compatibility, forcing users to employ a workaround.","",Framework,true
AC-11876,[Issue] Sales Rules regression in 2.4.7,https://github.com/magento/magento2/issues/38671,"The system now correctly validates sales rules, preventing the application of a coupon code to a cart when the product condition does not match any product name. Previously, a sales rule could be applied and a discount given on the shipping amount even when the product condition did not match any product name.",<https://github.com/magento/magento2/commit/0574ac23>,Cart & Checkout,true
AC-11878,[Graphql] Type issue in 2.4.7,https://github.com/magento/magento2/issues/38662,"The system now correctly handles integer values in the GetCustomSelectedOptionAttributes function when executing a GraphQL query, preventing any type-related errors. Previously, launching a GraphQL query that used GetCustomSelectedOptionAttributes with an integer argument resulted in a type error.",<https://github.com/magento/magento2/pull/38663>,APIs,true
AC-11905,[Issue] Static content deploy - Type error,https://github.com/magento/magento2/issues/38682,"The system now correctly handles empty LESS files during static content deployment, displaying an ""LESS file is empty"" error message. Previously, an incorrect type error was thrown when encountering an empty LESS file during deployment.",<https://github.com/magento/magento2/pull/38683>,Framework,true
AC-11907,Adding URL rewrites with an accent causes infinite loading,https://github.com/magento/magento2/issues/38692,"The system now successfully creates and functions URL rewrites with accents, preventing infinite loading during the saving process. Previously, adding a URL rewrite with an accent caused an infinite loading issue.",<https://github.com/magento/magento2/commit/44cef3a9>,SEO,true
AC-11914,[Issue] Sales rule CartFixed calculation : incorrect discount amount,https://github.com/magento/magento2/issues/38694,"The system now correctly calculates the discount amount for sales rules with cart fixed amounts, ensuring accurate discounts are applied regardless of changes in cart items. Previously, the discount amount could vary incorrectly when cart items changed, sometimes resulting in significantly larger discounts than expected.",<https://github.com/magento/magento2/commit/581b7ef1>,Cart & Checkout,true
AC-11919,Admin: Page Actions Buttons floating left instead of right,https://github.com/magento/magento2/issues/38701,"The system now correctly aligns the Page Actions Buttons to the right side of the sticky header in the admin panel, enhancing the professional look and feel. Previously, these buttons were incorrectly floating to the left side of the sticky header.",<https://github.com/magento/magento2/commit/44cef3a9>,Account,true
AC-11932,Default Product Attribute Settings Issue,https://github.com/magento/magento2/issues/38703,"The system now allows users to deselect a default option for a product attribute, ensuring that the attribute does not always have a default set. Previously, once a default was set for a product attribute, there was no way to deselect it, resulting in the attribute always having a default set.",<https://github.com/magento/magento2/commit/7d5e3906>,Performance,true
AC-11938,"UPS REST ""A shipment cannot have a KGS/IN or LBS/CM or OZS/CM as its unit of measurements""",https://github.com/magento/magento2/issues/38618,Ensure to UPS rates should visible in checkout and cart.,<https://github.com/magento/magento2/commit/493e01f5>,Shipping,true
AC-11970,Imposible to reorder configurable products with one checkbox selected custom option,https://github.com/magento/magento2/issues/38736,"The system now correctly processes the reordering of configurable products with a single selected checkbox custom option, allowing for successful basket creation. Previously, attempting to reorder such products resulted in an error and prevented items from being added to the shopping cart.",<https://github.com/magento/magento2/commit/1d144bce>,Catalog,true
AC-11992,[Issue] [MFTF] Added AdminClickAddOptionForBundleItemsActionGroup,https://github.com/magento/magento2/issues/30857,"The system now includes the AdminClickAddOptionForBundleItemsActionGroup, enhancing the functionality of the admin panel. Previously, this action group was not available.",<https://github.com/magento/magento2/pull/30838>,Product,true
AC-11993,"[Issue] The loader blocks the shipping methods after the postcode is changed, shipping rates validation rules",https://github.com/magento/magento2/issues/38742,"The system now correctly handles custom shipping methods without shipping rates validation rules, ensuring that the loader does not block the shipping methods after the postcode is changed in the shipping address during checkout. Previously, changing the postcode in the shipping address during checkout would cause the loader to block the shipping methods and not disappear when custom shipping methods without shipping rates validation rules were used.",<https://github.com/magento/magento2/commit/1bafc571>,Cart & Checkout,true
AC-11999,`dev:di:info` error in magento 2.4.7,https://github.com/magento/magento2/issues/38740,"The system now correctly displays constructor parameters when executing the `dev:di:info` command, preventing any errors from occurring. Previously, executing this command resulted in an error due to a type mismatch in the argument.",<https://github.com/magento/magento2/commit/0c53bbf7>,Account,true
AC-12000,[Issue] Code cleanup and add new critical head block and move critical css before assets,https://github.com/magento/magento2/issues/38748,"The system now includes a new critical head block and moves critical CSS before assets, allowing for more customization and performance optimization in the frontend. Previously, the critical CSS was not positioned before the assets, limiting customization and optimization opportunities.",<https://github.com/magento/magento2/pull/35580>,Performance,true
AC-12002,[Issue] [View] Removed extra space in link and script tag,https://github.com/magento/magento2/issues/32920,"The system now ensures that there are no extra spaces in the link and script tags, providing cleaner and more efficient code. Previously, double spaces could be found between attributes in the link and script tags.",<https://github.com/magento/magento2/pull/32919>,Framework,true
AC-12035,[Issue] Update js.js DOM text reinterpreted as HTML,https://github.com/magento/magento2/issues/38767,"By using innerText, it will avoid the risk of HTML injection, as these properties automatically escape any HTML special characters in the provided text. This fix, helps prevent cross-site scripting (XSS) vulnerabilities by treating the input as plain text rather than interpreted HTML.","",Security,true
AC-12060,Both Luma (Rest API) and Graphql  does not calculate taxes when only Zip code is provided.,"","The system now correctly calculates taxes when only a zip code is provided, ensuring accurate tax estimations for both Luma (Rest API) and GraphQL. Previously, only shipping estimates were calculated and taxes were not included when only a zip code was provided.","","APIs, GraphQL, Tax",false
AC-12076,[Issue] Fix wording of filter item on layered navigation,https://github.com/magento/magento2/issues/38789,"The system now correctly uses the words ""item"" and ""items"" in the layered navigation filter item, enhancing the clarity and accuracy of the filter descriptions. Previously, these words were used incorrectly, leading to potential confusion for users navigating the filter options.",<https://github.com/magento/magento2/pull/37852>,Catalog,true
AC-12119,"Instant purchase ""cheapest shipping"" broken for configurable products",https://github.com/magento/magento2/issues/38811,"The Instant Purchase feature incorrectly selected the more expensive In-Store Delivery option for configurable products instead of the cheapest Flat Rate method. This fix ensures that the correct shipping method is chosen based on the actual price.""","<https://github.com/magento/magento2/pull/38819>, <https://github.com/magento/magento2/commit/29fe9097>","Cart & Checkout, Shipping",true
AC-12127,[Issue] avoid a misconfiguration infinite loop,https://github.com/magento/magento2/issues/38822,"The system now avoids an infinite loop by preventing self-referential mapping in virtual type configurations. This ensures the application does not get stuck in an endless loop when attempting to dereference a self-referential node. Previously, if a virtual type configuration was self-referential, it would cause the application to spin indefinitely.",<https://github.com/magento/magento2/pull/38794>,Framework,true
AC-12128,Prototype.js security vulnerability fix CVE-2020-27511,"","The system has been updated to address the security vulnerability CVE-2020-27511 in Prototype.js 1.7.3, enhancing the overall security of the system. Prior to this update, the system was susceptible to a Regular Expression Denial of Service (ReDOS) through stripping crafted HTML tags.",<https://github.com/magento/magento2/commit/de4dfb8e>,UI Framework,true
AC-12162,Front end - Date of birth validation is failing in Customer creation page,"",Ensure all validation should work after upgrade moment.js system dependency to the latest minor version,<https://github.com/magento/magento2/commit/de4dfb8e>,Customer/ Customers,true
AC-12164,Date and Time Format for Custom Option Not Working,https://github.com/magento/magento2/issues/32990,"The system now correctly applies the configured date format to product custom options of type Date, ensuring that the date format is displayed correctly on the front-end. Previously, changes to the date format configuration did not reflect on the front-end for product custom options of type Date.",<https://github.com/magento/magento2/pull/38925>,Catalog,true
AC-12167,[Bug] Magento 2.4.7 doesn't allow product photo's with capital letter file extension.,https://github.com/magento/magento2/issues/38831,"The system now accepts product image uploads with capital letter file extensions, ensuring a smooth product creation process. Previously, image uploads with capital letter file extensions were refused, forcing users to change the file extension to lowercase.",<https://github.com/magento/magento2/commit/c8f87c25>,Admin UI,true
AC-12170,Coupon code feature is not working properly in the checkout page on Magento 2.4.7,https://github.com/magento/magento2/issues/38826,"The system now enables the discount code/coupon input field on the checkout page for virtual and downloadable products, allowing users to apply discount codes as expected. Previously, the discount code/coupon input was disabled, and the button title text displayed as ""Cancel coupon"", preventing users from applying discount codes.",<https://github.com/magento/magento2/commit/1bafc571>,Cart & Checkout,true
AC-12172,Issue at product import when provided with custom options-type: file (Created Product does not contain price for custom-option and show only the first file type extension provided),https://github.com/magento/magento2/issues/38805,"The system now correctly imports product data with custom options of type 'file', ensuring that all provided file extensions are displayed and the price for the custom option is included. Previously, during product import, if a custom option of type 'file' was provided with more than one file extension, only the first extension was displayed and the price for the custom option was missing.",<https://github.com/magento/magento2/pull/38926>,Import / export,true
AC-12176,Theme compilation breaks when mysql host contains port information,https://github.com/magento/magento2/issues/38799,"The system now correctly handles MySQL host configuration that includes port information, ensuring successful theme compilation. Previously, theme compilation would fail if the MySQL host configuration in the database connection included port information.",<https://github.com/magento/magento2/pull/38842>,Performance,true
AC-12189,Grunt Less uses pub/ prefix for sourcemaps,https://github.com/magento/magento2/issues/38837,"The system now generates less/css sourcemaps without the /pub prefix for paths when using grunt, eliminating the need for a workaround in the webserver configuration. Previously, the use of the /pub prefix in sourcemaps paths required a specific configuration in the webserver to function correctly.",<https://github.com/magento/magento2/pull/38840>,UI Framework,true
AC-12283,"""Area code not set"" after update to 2.4.5-p8",https://github.com/magento/magento2/issues/38845,"The system now successfully completes the static content deployment process when the Magento_CSP module is enabled and ""dev/js/translate_strategy"" is set to ""embedded"", without triggering the ""Area code not set"" error. Previously, under these conditions, the static content deployment process would fail with an ""Area code not set"" error.",<https://github.com/magento/magento2/pull/38922>,Content,true
AC-12299,Object Manager not used for Magento\Csp\Model\Mode\Data\ModeConfigured,https://github.com/magento/magento2/issues/38875,"The system now correctly uses the Object Manager when creating the ModeConfigured object, allowing plugins to be used on this object. Previously, the Object Manager was not being used, preventing plugins from being applied to the ModeConfigured object.",<https://github.com/magento/magento2/pull/38886>,Framework,true
AC-12319,Hidden dropdown in grids with select action (e.g. Content > Elements > Pages),https://github.com/magento/magento2/issues/38891,Now the system has been fixed all similar dropdown for all the grids.,<https://github.com/magento/magento2/pull/39371>,Admin UI,true
AC-12432,Ui Component File Field,https://github.com/magento/magento2/issues/38908,"The system now correctly validates the file field in a UI component form, allowing the form to be submitted without error when a file is selected. Previously, the validation would fail even when a file was selected, preventing the form from being submitted.",<https://github.com/magento/magento2/pull/39004>,UI Framework,true
AC-12479,Terms and conditions checkbox is not allowing HTML on storefront,"","The system now supports HTML formatting in the ""Terms and Conditions"" checkbox text on the storefront, allowing for enhanced customization and readability. Previously, the checkbox text was displayed in plain text format, ignoring any HTML tags used.",<https://github.com/magento/magento2/commit/6cfb9b6b>,Cart & Checkout,true
