Issue key,Summary,Custom field (External Issue URL),Custom field (Git Pull Request),Custom field (Release Note),Components,is_magento
AC-12049,[Issue] Fix: The Credit Memo Items' base_weee_tax_applied_row_amnt Value is Incorrect,https://github.com/magento/magento2/issues/38765,https://github.com/magento/magento2/commit/3b5ac075,"Corrected the credit memo calculation by using the proper setter for base_weee_tax_applied_row_amnt, ensuring the tax value reflects only the refunded quantity. Previously, the row amount incorrectly used the full order value instead of the partial credit memo amount.",Tax,true
AC-12124,[Random Bug] Fotorama lib isn't loaded,"","https://github.com/magento/magento2/commit/45b51c9c, https://github.com/magento/magento2/commit/27217d0e","The system now ensures that the Fotorama library is properly loaded, allowing all attached images to be displayed in the image gallery as expected. Previously, only the first image was visible due to an issue with the Fotorama library not loading correctly.","Catalog, Product",true
AC-12302,graphql (magento 2.4.6-p4 ) - error when try to get cms page with not active status,https://github.com/magento/magento2/issues/38877,https://github.com/magento/magento2/commit/1b1baf1d,"Fixed issue where GraphQL query for a disabled CMS page returned an internal server error.
Now, the query fetches a proper response without errors.",Content,true
AC-12325,Buy X Get Y cart price rule adds wrong discount when other rule already was applied,"",https://github.com/magento/magento2/commit/8670a2b4,"Fixed an issue where the Buy X Get Y cart price rule calculated discounts using the original product price even after another rule had already reduced it. The update ensures the second rule now applies the discount to the adjusted price, resulting in accurate total discounts when multiple promotions are active.",Promotion,true
AC-12334,Email template store-switcher,https://github.com/magento/magento2/issues/38892,https://github.com/magento/magento2/commit/8670a2b4,"Fixed an issue where the store switcher in the newsletter email template preview did not open when clicked due to deprecated jQuery code. Updating the load event restored proper functionality, allowing users to access the store switcher as expected.",Admin UI,true
AC-12335,Paylater Message isn't displayed in storefront while configuring successfully in Backend,"",https://github.com/magento/magento2/commit/528af81a,"Fixed an issue where the PayPal Pay Later message was not displayed on the Home and Cart pages despite being configured in the backend. The banner failed to render when the buyer country was null for guests or customers without a default address. After the fix, the Pay Later message displays correctly on the storefront.",Payment/ Payment Methods,true
AC-12336,WYSIWYG is empty in dynamic rows,https://github.com/magento/magento2/issues/38893,https://github.com/magento/magento2/commit/7bdafaa2,"WYSIWYG fields in dynamic rows are now correctly initialized and filled.
Previously, WYSIWYG fields in dynamic rows (such as in design configuration forms) could appear empty or lose their content after certain actions, requiring manual intervention to restore data.
AC-12336",UI Framework,true
AC-12343,Deprecated Functionality: Creation of dynamic property Magento\Framework\Acl::$_roleRegistry,https://github.com/magento/magento2/issues/37469,"","Deprecated functionality errors no longer prevent admin panel access after upgrade.
Previously, after upgrading to Magento 2.4.6, attempting to access the admin panel could result in the error:
""Deprecated Functionality: Creation of dynamic property Magento\Framework\Acl::$_roleRegistry is deprecated in vendor/magento/framework/Session/SessionManager.php on line 186""
This prevented administrators from logging in.
AC-12343",Upgrades - Upgrade Compatibility Tool,true
AC-12686,"[Issue] validate-rating is not working, selector of review rating is changed",https://github.com/magento/magento2/issues/33424,https://github.com/magento/magento2/commit/528af81a,"Fixed an issue where the review rating validation was not triggered due to a changed selector. Previously, reviews could be saved without selecting a rating. After the fix, validation works correctly and prevents saving a review unless a rating is selected.",Product,true
AC-12730,Wishlist sharing form allows random code in the name fields,https://github.com/magento/magento2/issues/39024,https://github.com/magento/magento2/commit/01cee3c3,"Fixed a critical Server-Side Template Injection (SSTI) vulnerability in the wishlist sharing form where malicious code could be entered in the message field and sent via email. The update adds input validation to block template directives and unsafe patterns, now showing an error message when invalid content is detected.",Content,true
AC-12783,Lighthouse Accessibility failure,https://github.com/magento/magento2/issues/39054,https://github.com/magento/magento2/pull/39164,The System now Pass with Accessibility score of 100,Other Developer Tools,true
AC-12854,v2.4.7-p1 Magento reorder -1 order numbers,https://github.com/magento/magento2/issues/39089,https://github.com/magento/magento2/pull/39399,The system is working as expected and after reorder from the backend the order number will be unique 8 digits,Order,true
AC-12856,Magento_Theme title.phtml template invalid for PHP 8.2,https://github.com/magento/magento2/issues/39092,https://github.com/magento/magento2/pull/39398,This pull request fixes an issue when CMS page created with the null heading as in Php 8.x passing null to trim() throws Exception: Deprecated Functionality: trim(): Passing null to parameter #1 ($string) of type string,Framework,true
AC-12909,Magento 2.4.7 minAllowed missing product order qty,https://github.com/magento/magento2/issues/39142,https://github.com/magento/magento2/pull/39480,The system is working fine and page source is showing correctly the min qty of the product,Product,true
AC-12945,xsd validation fails on etc/adminhtml/system.xml files that contain comments below field items.,https://github.com/magento/magento2/issues/39148,https://github.com/magento/magento2/pull/39867,This PR fixes XML schema definitions in phpstorm for comment node,Framework,true
AC-13055,Product Collection - addMediaGalleryData calls getSize when the collection maybe or will be loaded (Can use count to avoid an extra DB query),https://github.com/magento/magento2/issues/39111,https://github.com/magento/magento2/pull/39681,This PR reduces the extra query call using count() if the product collection is already loaded when calling Product Graphql with media_gallery field included in it.,Product,true
AC-13066,FPT value in cart page and product page are different for same configurations for simple product,"",https://github.com/magento/magento2/commit/8953613e,"FPT values are now consistent between cart and product pages for simple products.
Previously, Fixed Product Tax (FPT) values could differ in decimal places between the cart and product pages, even when the same configurations were applied.
AC-13066",Admin UI,true
AC-13069,Putting csp_whitelist.xml in theme does not work and creates intermittent issue,https://github.com/magento/magento2/issues/38933,https://github.com/magento/magento2/pull/39672,Implemented caching of CSP whitelist per website area.,Content,true
AC-13071,Multiselect/select attribute options can not be saved when Swatches modules disabled,"",https://github.com/magento/magento2/commit/8953613e,"Multiselect/select attribute options can now be saved when Swatches modules are disabled.
Previously, disabling Swatches modules caused exceptions when creating new multiselect/select attribute options.
AC-13071",Admin UI,true
AC-13075,FPT value in cart page and product page are different for same configurations for a dynamic product,"",https://github.com/magento/magento2/commit/8953613e,"FPT values are now consistent between cart and product pages for dynamic products.
Previously, FPT (Fixed Product Tax) values could differ in decimal places between the cart and product pages for the same configurations.
AC-13075",Admin UI,true
AC-13130,Special Price To Date is wrongly validated on applySpecialPrice,https://github.com/magento/magento2/issues/39169,https://github.com/magento/magento2/pull/39690,The system is working fine regarding Special price and Product special price will be expire on date set by admin or 3rd party system by REST API,APIs,true
AC-13171,Fixed Product Tax (FPT) is not displaying separately with configurable products,"",https://github.com/magento/magento2/commit/b5e99d20,"Fixed an issue where Fixed Product Tax (FPT) was not displayed separately for configurable products after selecting an option. Now, the FPT breakdown appears correctly on product listing and detail pages, matching the display format of simple products.","Product, Tax",true
AC-13174,Date format not respected in date ui component,https://github.com/magento/magento2/issues/39218,https://github.com/magento/magento2/commit/913bf1a6,"Resolved an issue where the Date UI component ignored the configured format and displayed incorrect values. The fix ensures the date field now respects the specified format (e.g., Y-m-d) for both display and input.",Admin UI,true
AC-13205,Magento Version exposure via Setup route with default Nginx Configuration,https://github.com/magento/magento2/issues/39227,https://github.com/magento/magento2/pull/39228,The system is now working as expected and do not expose the exact version of Magento the site is running,Framework,true
AC-13210,[Issue] Unpack object arguments as named parameters,https://github.com/magento/magento2/issues/39233,https://github.com/magento/magento2/pull/37411,"The system now utilizes the PHP 8.1 feature of unpacking array with named parameters, which eliminates the need for array_values calls and potentially improves overall performance. Previously, the system required array_values calls for unpacking object arguments.",Framework,true
AC-13214,[Issue] refactor quote address do validate method,https://github.com/magento/magento2/issues/38230,https://github.com/magento/magento2/pull/38219,This PR includes readability improvements to the doValidate method.,Framework,true
AC-13231,Magento option --magento-init-params never used when running cli?,https://github.com/magento/magento2/issues/39248,https://github.com/magento/magento2/commit/132b9e68,"The --magento-init-params option is now used when running CLI commands.
Previously, passing --magento-init-params to CLI commands had no effect on parameters like MAGE_MODE.
AC-13231",Framework,true
AC-13238,Magento 2.4.7 update (mini)cart no decimal qty allowed,https://github.com/magento/magento2/issues/39236,https://github.com/magento/magento2/pull/39669,Now Magento correctly handles when we are updating qty with decimals from mini cart when the locale was NL(Dutch),Cart & Checkout,true
AC-13240,getItemsByColumnValue wrong type declaration,https://github.com/magento/magento2/issues/33070,https://github.com/magento/magento2/pull/33120,"The system now correctly defines the input parameter $value as a primitive type, not an array, in the getItemsByColumnValue function, ensuring that the function returns the expected collection. Previously, if an array with a single value was used as the input parameter, the function would return null and IDEs would mark it as an error.",Framework,true
AC-13252,[Issue] Add EventPrefix and EventObject to checkout agreement model,https://github.com/magento/magento2/issues/32510,https://github.com/magento/magento2/pull/32451,"The system now includes EventPrefix and EventObject for the checkout agreement model, allowing events to be triggered with an event prefix. This enhancement provides more flexibility for developers when working with checkout agreement events. Previously, the checkout agreement model did not support EventPrefix and EventObject, limiting the ability to customize event handling.",Cart & Checkout,true
AC-13262,After upgrade to magento 2.4.7 p2 can't see newly uploaded files media gallery,https://github.com/magento/magento2/issues/39275,"","Newly uploaded files now appear in the Media Gallery after upgrade.
Previously, after upgrading to Magento 2.4.7 p2, newly uploaded images did not appear in the Media Gallery until a manual sync was performed.
AC-13262",Content,true
AC-13281,[WebAPI] customer email confirmation via WebAPI paradox,https://github.com/magento/magento2/issues/39255,https://github.com/magento/magento2/commit/c95ed7d7,"Fixed an issue where customers could not activate their accounts via WebAPI due to an authorization paradox requiring a token before confirmation. The update allows unconfirmed customers to activate their accounts successfully through the API, ensuring a consistent and functional confirmation flow.",APIs,true
AC-13293,[Issue] Ignore lib/internal/Magento/Framework/App/Test/Unit/_files/app/etc/en…,https://github.com/magento/magento2/issues/39304,https://github.com/magento/magento2/pull/37631,"The system now ignores the file 'env.php' that gets generated when running unit tests, ensuring that the git status remains clean after running tests. Previously, running unit tests would generate a new file 'env.php', causing the git status to show a new file found and making it appear dirty.",Test framework,true
AC-13300,"[Issue] Copyedit: change ""coping"" to ""copying""",https://github.com/magento/magento2/issues/39311,https://github.com/magento/magento2/pull/39307,"PR fixes the Minor copyedit to correct spelling of ""copying""",Import / export,true
AC-13305,[Issue] Fix integration test issue with interceptor,https://github.com/magento/magento2/issues/39324,https://github.com/magento/magento2/pull/37187,"The system now correctly identifies and handles the \Magento\TestFramework\App\Config\Interceptor in the integration test, ensuring that the test can access the necessary data even when a plugin on the class exists. Previously, the system failed to account for the possibility of the \Magento\TestFramework\App\Config being a \Magento\TestFramework\App\Config\Interceptor, resulting in an error when attempting to access the $data property.",Test framework,true
AC-13311,Invalid SKU Handling for Linked Products in Magento,https://github.com/magento/magento2/issues/39329,https://github.com/magento/magento2/commit/a8cf637b,"Fixed an issue where products with SKU “0” could not be linked as related, up-sell, or cross-sell items due to invalid SKU validation. The update ensures such products can be linked successfully, allowing the product to save without errors.",Product,true
AC-13334,[Issue] Developer Experience: Quote AbstractItem code style (SwiftOtter's SOP-348),https://github.com/magento/magento2/issues/39340,"",This Pull Request fixes misleading method declarations for Abstract Item methods.,Cart & Checkout,true
AC-13335,Customer group code saved does not match the input when using multibyte characters,https://github.com/magento/magento2/issues/39342,https://github.com/magento/magento2/commit/a06a4a57,"Fixed an issue where customer group codes using multibyte characters were truncated and did not match the entered value. The update ensures the full input is saved correctly, allowing accurate creation of customer groups with multibyte names.",Account,true
AC-13336,[Issue] Fix offline invoice capture (404),https://github.com/magento/magento2/issues/39298,https://github.com/magento/magento2/pull/39297,It fixes the 404 Page Error while capturing invoices for offline payment methods from Magento admin,Payments,true
AC-13338,[Issue] Allow custom catalog rule conditions,https://github.com/magento/magento2/issues/39339,https://github.com/magento/magento2/commit/913bf1a6,"Resolved an issue that prevented custom catalog rule conditions from being used due to strict type checking. The fix replaces the class equality check with instanceof, allowing custom condition classes to function correctly and enabling successful rule validation and indexing.",Catalog,true
AC-13354,No Option available to delete sources,https://github.com/magento/magento2/issues/32362,https://github.com/magento/inventory/commit/1b6c8a3e,"Added a delete option for inventory sources in the Admin UI, allowing admins to remove extra sources instead of only enabling or disabling them. This enhancement improves inventory management by providing better control over unused sources.",Admin UI,true
AC-13358,RestApi request '/rest/default/V1/categories?searchCriteria%5Bpage_size%5D=1' fails with timeout error,"",https://github.com/magento/magento2/commit/7bdafaa2,"Category REST API requests no longer fail with timeout errors.
Previously, requests to /rest/default/V1/categories?searchCriteria[page_size]=1 could fail with a timeout after certain code changes.
AC-13358","Catalog, Search",true
AC-13363,Category tree in admin is not expanded to show all selected nested categories from level 3,"",https://github.com/magento/magento2/commit/913bf1a6,"Fixed an issue where the admin category tree did not expand to display selected nested categories beyond level 3. After the fix, all selected categories are automatically expanded, improving visibility and usability across category-related conditions.",Admin UI,true
AC-13367,"When using file storage for the lock provider, we get an ever growing directory of files without any cleanup happening",https://github.com/magento/magento2/issues/39369,https://github.com/magento/magento2/pull/39372,"This pull request introduce a new cronjob that runs once per day and searches for lock files that haven't been modified in the last 24 hours and can thus be safely removed. This will keep the contents of the lock files directory under control.
This cronjob will only execute something when the lock provider is configured to use files, not when one of the others is used (database - the default, zookeeper or cache)",Framework,true
AC-13373,Configurable product lose options when added to wishlist,https://github.com/magento/magento2/issues/39363,https://github.com/magento/magento2/commit/cc0ec250,"Fixed an issue where configurable product options were lost after adding the product to the wishlist. Now, the selected options are retained, allowing the product to be added to the cart smoothly without prompting users to reselect options.",Catalog,true
AC-13409,Issue when updating customer email in Admin Panel with ö and .swiss domain,https://github.com/magento/magento2/issues/39394,https://github.com/magento/magento2/commit/d3ea191d,"Admin Panel now accepts customer emails with special characters and .swiss domains.
Previously, updating a customer email to an address like max@möstermann.swiss failed with errors about invalid hostnames and TLDs.
AC-13409",Account,true
AC-13447,Success message after Quote renaming vanishes intermittently,"","","Adobe Commerce now consistently displays a success message after a negotiable quote or quote template is renamed on the storefront. Previously, when a buyer renamed a negotiable quote, the success message would intermittently not appear (often clearing almost immediately), which also caused automated tests that wait for this message to fail even though the rename operation itself succeeded. AC-13447",B2B,false
AC-13489,Media gallery displays incorrect images from directories with identical names but different case,https://github.com/magento/magento2/issues/39382,https://github.com/magento/magento2/pull/39502,The System now addresses an issue where files uploaded to a specific directory in the Media Gallery are also visible in directories with similar names but different case.,Content,true
AC-13492,[Issue] MFTF: Submitting Email To Friend Form with enabled captcha,https://github.com/magento/magento2/issues/39462,https://github.com/magento/magento2/pull/32830,"The test case addresses the functionality of the ""Email to Friend"" form when CAPTCHA is enabled, ensuring that the form submission process works correctly with both incorrect and correct CAPTCHA values.",Test framework,true
AC-13524,Grouped Product Frontend Quantity Validations are Missing,https://github.com/magento/magento2/issues/39479,https://github.com/magento/magento2/pull/39480,The system is now working fine and displaying validation error when we are trying to add negative qty and max qty,Cart & Checkout,true
AC-13535,Minimum and maximum value validation does not work for DOB attribute on Storefront,"",https://github.com/magento/magento2/commit/68a45d0a,"This bug fixed the issue where minimum and maximum date validation for the Date of Birth (DOB) attribute did not work on the storefront (though it worked in Admin).
In 2.4.9-alpha3, validation now correctly blocks saving customers with DOB outside the allowed range, showing an error message.",Customer/ Customers,true
AC-13556,"Completely removing a gallery-image from be keeps scope roles/types set (base/small/thumbnail) and after re-adding ""old"" roles/types appear",https://github.com/magento/magento2/issues/39481,https://github.com/magento/magento2/pull/39680,The system is working as expected in the store scopes the images inherit the roles/types of the new added image as per the default scope,Content,true
AC-13594,Special price is not showing correctly for Configurable product's child product (simple product),"",https://github.com/magento/magento2/commit/3cf1a106,"Fixed an issue where the special price for a configurable product’s child (simple) product was not displayed correctly on the product listing page when “Used in Product Listing” was set to No. Now, the special price is shown properly along with the regular price, ensuring consistent pricing display across product types.",Catalog,true
AC-13641,Admin can import customer with date of birth greater than current date,"",https://github.com/magento/magento2/commit/8670a2b4,"Fixed an issue where admins could import customers with a date of birth set in the future. The system now validates the DOB during import, shows an error for invalid records, and prevents customers with future birth dates from being imported, ensuring accurate customer data.","Import / export, Customer/ Customers",true
AC-13661,[Small Bug] Filter of Admin Panel `listing component` cannot hit when field value contains `\`,https://github.com/magento/magento2/issues/39513,https://github.com/magento/magento2/pull/39535,The system is working fine when we are filtering page title having slash in it(eg: Magento\Store),Content,true
AC-13664,[Issue] Cleanup: don't use void return value from method calls.,https://github.com/magento/magento2/issues/39524,https://github.com/magento/magento2/pull/39516,This PR does minor cleanup. Sometimes we called methods that didn't return anything (void) and then used that result value. Which is really not needed.,Framework,true
AC-13671,[Bug] REST API: Update special prices does not set values for all store views,https://github.com/magento/magento2/issues/39521,https://github.com/magento/magento2/commit/7bdafaa2,"REST API now updates special prices for all store views in a website.
Previously, updating special prices via REST API only affected the specified store view, not all store views in the website.
AC-13671",Catalog,true
AC-13719,Cache Keys associated with FPC on Magento 2.4.7 multi-store implementations,https://github.com/magento/magento2/issues/39456,https://github.com/magento/magento2/commit/ae6f305b,"Fixed an issue where Full Page Cache (FPC) cache keys in multi-store setups did not include MAGE_RUN_CODE and MAGE_RUN_TYPE, causing inconsistent cache key behavior compared to earlier versions. Cache keys now correctly include store context, ensuring proper cache isolation across stores.",Framework,true
AC-13857,Problems with price scope and config.php,https://github.com/magento/magento2/issues/33559,"","In Magento 2.4.2, changing the price scope via config.php does not properly update the is_global value in catalog_eav_attribute for the price attribute.
As a result, product prices remain global and cannot be saved per website, even when the price scope is set to website.
The workaround requires manually updating the is_global column in the database, which is not ideal for production environments.
This behavior is consistent with Magento’s default design, where price scope is either Global or Website, but not per store view.",Catalog,true
AC-13866,"""Add Products Manually"" link should always be visible",https://github.com/magento/magento2/issues/39595,https://github.com/magento/magento2/commit/ef666cd9,"Fixed an issue where the “Add Products Manually” link was not visible when creating a configurable product without existing configurations. The link is now always displayed, allowing admins to associate simple products easily without creating dummy configurations.","Catalog, Product",true
AC-13891,"Error: Script error for ""Magento_Catalog/js/validate-product"" for admin content pagebuilder with products load",https://github.com/magento/magento2/issues/39604,https://github.com/magento/magento2/pull/39677,This PR fixes the  Script error for catalogAddToCart when editing the pagebuilder with the products condition,Content,true
AC-13892,catalogAddToCart Script error when configuring the Product Widget.,"",https://github.com/magento/magento2/commit/528af81a,"Fixed a script error that occurred when configuring the Products widget with “Conditions Combination” in Page Builder. The issue was caused by missing frontend JS files, leading to console errors. After the fix, the widget loads correctly with no console errors.",Content,true
AC-13907,[Issue] Update subtotal.phtml,https://github.com/magento/magento2/issues/39619,https://github.com/magento/magento2/pull/39612,The System updates the subtotal.phtml with the correct spacing,Cart & Checkout,true
AC-14003,Issue with the Customizable Options grid on the product page in the admin panel,https://github.com/magento/magento2/issues/39640,https://github.com/magento/magento2/pull/39694,The system is working as expected when we are creating a customisable options with type dropdown,Product,true
AC-14011,Admin product page error when all product attributes are set to global scope,https://github.com/magento/magento2/issues/39646,"","Fixed an issue where the admin product edit page displayed an error when all product attributes were set to global scope. The error was caused by an empty database query, making the page unusable. After the fix, the product page renders correctly and products can be created without issues.",Product,true
AC-14020,[Issue] Improve user experience with roles tree,https://github.com/magento/magento2/issues/39654,https://github.com/magento/magento2/pull/36511,"This pull request adds buttons to collapse all, expand all, and expand branches with selected items. This functionality is similar to that provided in the category tree (Catalog -> Inventory -> Categories)",Admin UI,true
AC-14049,Missing Billing Address Error in Admin Dashboard When Creating Order via REST API with Only Payment Information,https://github.com/magento/magento2/issues/39651,https://github.com/magento/magento2/commit/36d4d6fb,"Fixed issue where orders could be created via API without a billing address, causing admin dashboard crashes.
Now, orders without a billing address are restricted and no longer created.",APIs,true
