Issue key,Summary,Custom field (Release Note),Custom field (Git Pull Request),Custom field (External Issue URL),Components,is_magento
AC-15046,Rest API: Call to a member function getVideoProvider() on null,"Fixed issue where calling the configurable product children API returned a 500 Internal Server Error if a child product had only a YouTube video and no other images.
The error was caused by a null reference in the ExternalVideoEntryConverter.
Now, the API correctly returns child products with media gallery entries, including external video data, without throwing errors.
This ensures proper retrieval of all media types for child products via REST API.","",https://github.com/magento/magento2/issues/40021,Framework,true
AC-15054,Product Add to Cart issue in Rest API,"Fixed issue where products not assigned to a specific website could still be added to cart and purchased.
Now, an error message is shown: “Product that you are trying to add is not available.”",https://github.com/magento/magento2/commit/f5cc09fc,https://github.com/magento/magento2/issues/40029,APIs,true
AC-15074,Show prefix/suffix setting ignored when set to No,"Fixed issue where customer name prefix/suffix continued to display in orders even when disabled in configuration.
Now, prefix/suffix values are stripped from order details based on the config setting.",https://github.com/magento/magento2/commit/a3b1abc2,https://github.com/magento/magento2/issues/40036,Account,true
AC-15075,[Issue] Fix a few typos in PHPDoc comments,This PR fixes the few typos in the phpdoc,https://github.com/magento/magento2/pull/38809,https://github.com/magento/magento2/issues/40042,Framework,true
AC-15082,[Issue] Accessibility: WAI-ARIA roles nesting wrong in menu,The system now generates lighthouse accessibility without WAI-ARIA roles nesting wrong in menu error and report should be green,https://github.com/magento/magento2/pull/38617,https://github.com/magento/magento2/issues/40045,Other Developer Tools,true
AC-15132,[Issue] replace deprecated escaper,This PR  removes the deprecated getEscaper() and add it via constructor injection,https://github.com/magento/magento2/pull/38135,https://github.com/magento/magento2/issues/40062,Admin UI,true
AC-15148,Graphql - Merge cart not working correctly when Backorder is enabled,"Fixed issue where guest cart items were not merged with customer cart during cart merge via GraphQL.
Now, customer cart correctly reflects the combined quantity from both guest and customer carts.",https://github.com/magento/magento2/commit/a3b1abc2,https://github.com/magento/magento2/issues/40064,Cart & Checkout,true
AC-15166,Welcome message overlapping product category in mobile view.,"Fixed UI issue where the welcome name overlapped with product categories in mobile view, blocking clicks.
Now, categories are fully visible and clickable without overlap issues.",https://github.com/magento/magento2/commit/1b1baf1d,"",Admin UI,true
AC-15171,[Issue] Update use cache control immutable for static site,This PR adds performance improvement by not validating the static content on each page load until & unless its changed.,https://github.com/magento/magento2/pull/39484,https://github.com/magento/magento2/issues/39486,Performance,true
AC-15177,Storefront customer account register: email address format getting converted with different domain format,"This bug addressed an issue where customer emails with special characters in the domain (e.g., tec55241@adòbe.com) were being auto-converted into punycode format (tec55241@xn--adbe-mqa.com).
In Magento 2.4.9-alpha3, the fix ensures that such email IDs remain unchanged and valid, preventing delivery errors.",https://github.com/magento/magento2/commit/68a45d0a,"",Account,true
AC-15183,[Issue] Remove sprintf usage in phrase calls,This PR removes the usage of sprintf in the phrase function call in the Magento core.,https://github.com/magento/magento2/pull/40033,https://github.com/magento/magento2/issues/40050,Framework,true
AC-15185,Missing validation messages (mage-error) on register form,"Fixed issue where required fields on the customer account creation page showed no validation messages when left empty.
Now, proper error messages are displayed for all empty or incorrect fields.",https://github.com/magento/magento2/commit/36d4d6fb,https://github.com/magento/magento2/issues/40076,Account,true
AC-15199,Extra Logging When Requesting A Product Via Repository Fails,"Improved error messages for ProductRepository::get and getById when a SKU or ID is not found.
Previously, exceptions provided no context about which SKU or ID caused the error.
Now, the exception message includes the missing SKU or ID, aiding in debugging and improving developer experience.
This change does not affect any functional behavior of the API.",https://github.com/magento/magento2/commit/1b1baf1d,https://github.com/magento/magento2/issues/40090,Product,true
AC-15208,Attribute Option Label Gets Overwritten When Updating Store Labels,"Fixed issue where updating a multiselect product attribute via REST API would overwrite all store_labels, removing existing store-specific labels.
Now, when updating the default store view label, Magento merges the provided labels with existing ones instead of fully overwriting them.
This ensures that store-specific labels for other store views remain intact after updates.",https://github.com/magento/magento2/commit/36d4d6fb,https://github.com/magento/magento2/issues/40093,APIs,true
AC-15237,'As low as' price label is shown for configurable products with single option,"Fixed issue where configurable products displayed the price with an incorrect “As low as” label on PDP/PLP.
Now, the product shows the correct price ($500) without any misleading labels.",https://github.com/magento/magento2/commit/a3b1abc2,https://github.com/magento/magento2/issues/40104,Catalog,true
AC-15252,Product is being saved even when Special Price From Date is later than To Date using mass action,"Fixed issue where products could be saved with an invalid special price date range without validation.
Now, an error message is shown: “Make sure the To date is later than or the same as the From date.”",https://github.com/magento/magento2/commit/36d4d6fb,https://github.com/magento/magento2/issues/40113,Pricing,true
AC-15270,Cannot reindex all invalid on multi-thread indexers with active application lock,"This issue fixed a multi-thread indexer failure when use_application_lock was enabled.
Earlier, DB locks were lost during parallel processing, causing indexers to remain in ""working"" state and throw SQL errors (table not found).
In Magento 2.4.9-alpha3, the fix ensures indexers reindex correctly with application lock enabled.",https://github.com/magento/magento2/commit/68a45d0a,https://github.com/magento/magento2/issues/40102,Framework,true
AC-15280,Shipping details mismatch after completing paypal express checkout for a negotiable quote.,"This issue fixed a shipping cost mismatch when completing a PayPal Express Checkout for an approved negotiable quote.
Before the fix, shipping was incorrectly doubled (showing $10 instead of $5) leading to inflated totals.
The fix in Magento 2.4.9-alpha3 ensures the correct shipping cost is applied","","",Pricing,true
AC-15292,Issue after login in magento 2.4.8-p1,"Fixed issue on Magento 2.4.8-p1 where the “Create an Account” link was still visible on the homepage after login.
Now, the link is correctly hidden after login, consistent with other pages.","",https://github.com/magento/magento2/issues/40120,Account,true
AC-15323,Wrong method called for Add To Compare button,"Corrected the method used in \Magento\Catalog\Ui\DataProvider\Product\Listing\Collector\Url::collect().
Previously, getAddToCartButton() was incorrectly called instead of getAddToCompareButton().
This change ensures the correct behavior for rendering the “Add to Compare” button in product listings.
No functional behavior changes are introduced; the update improves developer experience and code correctness.",https://github.com/magento/magento2/commit/a3b1abc2,https://github.com/magento/magento2/issues/39754,Catalog,true
AC-15336,Ajax 401 error load on Warning screen in admin panel while Login as Customer permission revoked,"This bug fixed an issue where a revoked Login as Customer permission caused an Ajax 401 error with raw HTML to appear in the warning popup.
After the fix, the system now correctly displays a normal warning message instead of raw HTML.
The solution was delivered in Magento 2.4.9-alpha3",https://github.com/magento/magento2/commit/68a45d0a,"",Customer/ Customers,true
AC-15338,"Change constant IMAGE_FILE_NAME_PATTERN to public visible,  for more flexibility",The constant IMAGE_FILE_NAME_PATTERN in GenerateRenditions.php was made public to allow developers more flexibility when working with image renditions.The fix is included in Magento 2.4.9-alpha3 with full unit and integration test coverage.,https://github.com/magento/magento2/commit/68a45d0a,https://github.com/magento/magento2/issues/39733,Content,true
AC-15340,Update module Readmes and fix docs links,"",https://github.com/magento/magento2/commit/ec9459d0,"",Framework,true
AC-15345,Undefined array key in ProductRepository getById,"The issue occurred when ProductRepository::getById() was called with an invalid ID like 123abc, leading to an ""Undefined array key"" error.
After the fix in Magento 2.4.9-alpha3, such requests now correctly return a 404 page instead of throwing an exception.
QA confirmed with both valid and malformed IDs, and no further issues were observed.",https://github.com/magento/magento2/commit/68a45d0a,https://github.com/magento/magento2/issues/40146,SEO,true
AC-15358,Magento2: Not able to create promotion rule,"This PR  fixes, we get 
\Magento\Catalog\Model\ResourceModel\Eav\Attribute model instead of \Magento\Catalog\Model\ResourceModel\Eav\Attribute in the method \Magento\SalesRule\Model\Rule\Condition\Product::loadAttributeOptions",https://github.com/magento/magento2/pull/30479,https://github.com/magento/magento2/issues/12176,Order,true
AC-15363,[Integration] [Checkout] Depend directives updated in failed payment email template,"Failed payment email template updated to handle depend directives correctly.
Fix ensures shipping address and shipping method display properly when applicable.
Previously, these fields were missing in failed payment emails.",https://github.com/magento/magento2/commit/36d4d6fb,"",Cart & Checkout,true
AC-15386,[Issue] Log undeclared plugin only if it is not disabled,This PR fixes and log the plugin who are actually undeclared and not used (enabled and missing instance).,https://github.com/magento/magento2/pull/40081,https://github.com/magento/magento2/issues/40086,Framework,true
AC-15446,"Magento 2.4.8-p2, magento/framework version 103.0.8-p2: EmailMessage class calling a non-existent method","","https://github.com/magento/magento2/commit/059fd469, https://github.com/magento/magento2/commit/e9412b24",https://github.com/magento/magento2/issues/40170,Framework,true
AC-15559,[Magento 2.3.x] Data/Schema Patches getAliases() causes errors during `setup:upgrade`,"getAliases() causes errors during setup:upgrade, this PR fixing the same",https://github.com/magento/magento2/pull/38239,https://github.com/magento/magento2/issues/31396,Framework,true
AC-3179,"""Can not resolve reCAPTCHA parameter"" entries in exception.log for Google reCAPTCHA Admin Panel","A reCaptcha error in the `var/log/exception.log` file for the Google V3  reCAPTCHA Admin login has been resolved, and no error messages are logged. Previously, the following error was thrown every few seconds when an admin user configured their **Configuration**  >  **Security**  >  **Google reCAPTCHA Admin Panel** settings: `main.ERROR: Can not resolve reCAPTCHA parameter. {""exception"":""[object] (Magento\Framework\Exception\InputException(code: 0): Can not resolve reCAPTCHA parameter. at /home/xxxxxxx/public_html/vendor/magento/module-re-captcha-ui/Model/CaptchaResponseResolver.php:25)""} []`.  [GitHub-34975](https://github.com/magento/magento2/issues/34975)","https://github.com/magento/magento2/commit/4f7e5983, https://github.com/magento/security-package/commit/804dbc2a",https://github.com/magento/magento2/issues/34975,Admin UI,true
AC-5979,Rest API products-render-info return wrong final price for logged in customer,The ticket has a fix for Rest API products-render-info return wrong final price for logged in customer,https://github.com/magento/magento2/commit/,https://github.com/magento/magento2/issues/35757,B2B,true
AC-6909,Expected type 'Magento\Customer\Api\Data\GroupInterface'. Found 'Magento\Customer\Model\Group'.,"Fixed issue where saving a customer group via GroupRepositoryInterface using GroupFactory caused a type error.
Previously, the repository expected GroupInterface, but Group model instances were passed, resulting in a fatal error.
Now, customer groups can be saved successfully through the repository by ensuring proper interface implementation.
This resolves IDE warnings and runtime errors when programmatically creating or updating customer groups.","",https://github.com/magento/magento2/issues/36269,Framework,true
AC-8349,[Issue] Remove forbidden `@author` tag,This PR removes `@author` tag from the codebase,https://github.com/magento/magento2/pull/37016,https://github.com/magento/magento2/issues/37266,Framework,true
AC-8350,[Issue] Remove forbidden `@author` tag,This PR removes `@author` tag from the codebase,https://github.com/magento/magento2/pull/37015,https://github.com/magento/magento2/issues/37265,Framework,true
AC-8359,[Issue] Remove forbidden `@author` tag,This PR removes `@author` tag from the codebase,https://github.com/magento/magento2/pull/37012,https://github.com/magento/magento2/issues/37262,Framework,true
AC-8362,[Issue] Remove forbidden `@author` tag,This PR removes `@author` tag from the codebase,https://github.com/magento/magento2/pull/37009,https://github.com/magento/magento2/issues/37259,Framework,true
AC-8367,[Issue] Remove forbidden `@author` tag from `Magento_Backup` and `Magento_Bundle`,This PR removes `@author` tag from the codebase,https://github.com/magento/magento2/pull/36979,https://github.com/magento/magento2/issues/37244,Framework,true
AC-8440,Tax rate admin ui error,"This ticket fixed a Tax Rate admin UI issue where switching the country (e.g., from US → UK) still displayed the previously selected US state, misleading users.
In 2.4.9-alpha3, the state field now resets to * when the selected country has no states.",https://github.com/magento/magento2/commit/a3b1abc2,"","Admin UI, Tax",true
AC-8575,Add to Requisition list button disappears when we try to add it from catgory page,Earlier Add to Requisition list button disappears when we try to add it from catgory page which is now fixed and we can see the requisition button on category page,"","",B2B,true
AC-8814,[Issue] Remove forbidden `@author` tag from `Magento_Backend`,This PR removes `@author` tag from the codebase,https://github.com/magento/magento2/pull/36976,https://github.com/magento/magento2/issues/37522,UI Framework,true
AC-9215,[Issue] Fix variable name in catalogsearch,"The system now correctly names variables in the search engine module, enhancing code clarity and maintainability. Previously, an irrelevant variable name, $defaultCountry, was used in the search engine module, causing confusion.",https://github.com/magento/magento2/pull/33533,https://github.com/magento/magento2/issues/37810,Framework,true
AC-9245,Console error in Email preview in the Magento admin,The system will not throw any console error when we are previewing the email template,https://github.com/magento/magento2/pull/37933,https://github.com/magento/magento2/issues/37820,Other Developer Tools,true
ACP2E-3890,[QUANS]Server Issue Potentially Caused by Invalid S3 Access Key,Incorrect AWS S3 credentials no longer causes pages to load infinitely on storefront.,https://github.com/magento/magento2/commit/2a1e1e55,"",Framework,true
ACP2E-3902,[Cloud] Sitemap generation never ends,"Previous to the fix, the sitemap generation could not finish successfully if the catalog contained more than a million products. After the fix, the sitemap generation will finish with lower memory allocation and with as many as one million products per store.",https://github.com/magento/magento2/commit/52f46328,"",SEO,true
ACP2E-3905,Gift Card email is sent even if order invoice fails,"Prior to the implementation of this fix, gift card emails were sent after the invoice had been created. However, after the fix was applied, gift card emails are now sent after invoices have been successfully saved and committed.","","","Cart & Checkout, Order, Product",true
ACP2E-3906,Staging update preview breaks at checkout when using a different admin domain,A customer can log in and view their cart in store preview mode when the store base URL is different from the admin URL.,"","",Staging & Preview,true
ACP2E-3917,Stock delete operation is not completing,"After the fix, deleting a source item doesn't lead to a full reindex and updates only affected products increasing performance.",https://github.com/magento/inventory/commit/ee0bf4ad,"",Inventory / MSI,true
ACP2E-3925,[QUANS] [Cloud] Minify js not working,"The following JS files are now fully and correctly minified when JS minification is enabled: mage/backend/tabs.min.j, jquery/jquery.validate.min.js and Magento_PageBuilder/js/form/element/validator-rules-mixin.min.js. As result, Page Builder CSS Class Field Validation works as expected.",https://github.com/magento/magento2/commit/47721be6,"",Framework,true
ACP2E-3927,Dynamic image generation generate large number of images,"After the fix, images will be generated only for the websites to which the product is assigned.",https://github.com/magento/magento2/commit/fab20b00,"",Catalog,true
ACP2E-3945,"Customer Order GraphQL : Retrieve product categories for the associated product is ""not visible individually","Prior to the fix, if the order contained a hidden product its categories would display an empty array in the Customer Order GraphQl response.
Now, after the fix, the products categories are included in the response of a Customer Order GraphQl request even if the product is hidden.",https://github.com/magento/magento2/commit/2a1e1e55,"",GraphQL,true
ACP2E-3946,[CLOUD] Unable to add products to categories,Improved performance when adding product to category through Visual Merchandiser.,https://github.com/magento/inventory/commit/29653b1d,"",Performance,true
ACP2E-3949,Related products via related product rule not appearing in PDP via GraphQL,"Previously, before this fix was applied, the relative product rule returned empty/null for a product that matched the rule. After this fix has been applied, the relative rule for product returns successfully for matched products.","","","Catalog, Product",true
ACP2E-3968,[MSI] No indication in admin if the customer was asynchronously notified about Order is Ready for Pickup,Added to order history notification about the customer was asynchronously notified about Order is Ready for Pickup,https://github.com/magento/inventory/commit/29653b1d,"",Inventory / MSI,true
ACP2E-3969,Content Staging Dashboard Display of time incorrect,"Now the ""Start Time"" and ""End Time"" date filters in ""Content Staging Dashboard"" show correct date and time. Previously, incorrect date and time was shown after selecting the date and time in the datepicker","","",Staging & Preview,true
ACP2E-3972,Csv product import : Unable to unset a swatch image,"Prior to the fix you were not able to update the swatch image of a product through product import. Now, after the fix, if you mark the product swatch image column with the configured empty marker, the image will be set to hidden.",https://github.com/magento/magento2/commit/2a1e1e55,"",Import / export,true
ACP2E-3973,[Cloud] Free Shipping discount not correctly removed when cart no longer meets requirements,The Subtotal (Excl. Tax) in cart price rule will now incorporate discounts from preceding rules.,https://github.com/magento/magento2/commit/6dd3fa99,"",Cart & Checkout,true
ACP2E-3991,[Cloud] getRemoteAddress return 127.0.0.1 on Production,Previous to this fix the remote address was not determined correctly when application server is used. After the fix the remote address is properly determined combined with proper header setup in nginx and header configuration.,https://github.com/magento/magento2/commit/47721be6,"",GraphQL,true
ACP2E-3992,Customer password reset through GraphQL doesn't honour the restrictions,Resolved an issue where customer password reset requests made through GraphQL mutations did not comply with the password reset restrictions configured under Store > Configuration > Customers > Customer Configuration > Password Options. These settings are now correctly enforced.,https://github.com/magento/magento2/commit/6dd3fa99,"","GraphQL, Security",true
ACP2E-3993,GraphQl invalid discount calculation,"GraphQL now correctly displays discount percentages and base prices when catalog prices are configured to include tax. Previously, rounding errors occurred, such as displaying 19.99% instead of 20%.",https://github.com/magento/magento2/commit/e457c5e2,"","Catalog, GraphQL",true
ACP2E-3994,"No such entity with cartId = X error is shown on Storefront when login B2B company user from admin feature  ""Login as Customer""","Now ""No such entity with cartId = X"" error is no longer visible after successfully login from admin backend when using ""Login as Customer"" feature.",https://github.com/magento/magento2/commit/2a1e1e55,"","B2B, Cart & Checkout",true
ACP2E-3995,Cron job not clearing the database table - causing outage due to Galera crash,Changelog tables cleanup is now running in batches to avoid heavy delete operations.,https://github.com/magento/magento2/commit/52f46328,"",Framework,true
ACP2E-4001,Cancel invoice redirects to 404,Cancellation of the invoice made with Not Capture type does not lead to page 404 anymore.,https://github.com/magento/magento2/commit/2a1e1e55,"",Order,true
ACP2E-4002,Special price is not taking into effect with websites created with different timezones,"Prior to the fix, the special price date validity was created in scope of current store timestamp. Now, after the fix, the default store timezone is taken into consideration.","","",Pricing,true
ACP2E-4010,Sales Archive Cron jobs are causing DB locking issues,"Prior to the fix, unbound DELETE queries located in order archive cron was causing issues with Galera. Now, after the update, delete queries are executed with limits.","","",Order,true
ACP2E-4011,Restricted admin user can save/update default configurations despite Store-Specific Permissions,"Fixes the issue where restricted admin users were able to see and attempt to update the ""Default Config"" scope despite being assigned only to specific website scopes, which could cause confusion.",https://github.com/magento/magento2/commit/2a1e1e55,"",Admin UI,true
ACP2E-4031,[QUANS] Confirm GQL order placement exception handling behaviour reversion,Addressed backward incompatible change for placeOrder mutation.,https://github.com/magento/magento2/commit/52f46328,"",GraphQL,true
ACP2E-4033,Issue mapping translated message to error code when placing order via GraphQL,"Fixed an issue when translated exception message was used to map the error code for GraphQL Requests, causing an unknown error codes for known errors.",https://github.com/magento/magento2/commit/fab20b00,"",GraphQL,true
ACP2E-4036,"Configurable product price saved under DB for any store view scope, causing issues in the Products in Category sorting feature where the saved price has no relevance in frontend","Removed the ""Use Default Value"" checkbox for a configurable product when price is configured per website and a store view is selected on the admin UI configurable product edit page.",https://github.com/magento/magento2/commit/fab20b00,"",Admin UI,true
ACP2E-4038,Product Import generates Empty URLs for Store Scope,Product URL key in store view will now inherit the value set in default scope if url_key has empty value in the import data source. Previously setting url_key to an empty value in import data source for a store view record would lead to url_key being overridden with empty value in that scope.,https://github.com/magento/magento2/commit/52f46328,"",Import / export,true
ACP2E-4040,"500 error occurs on frontend, due to incorrect layout structure is cached in layout","Fixed an issue when a page would return a 500 error code, due to an incorrect layout structure being cached in the layout",https://github.com/magento/magento2/commit/47721be6,"",Catalog,true
ACP2E-4044,[QUANS]Admin Password Policy Does Not Meet PCI DSS 4.0 Compliance (Minimum 12 Characters),"Administrators can now configure the minimum password length requirement for admin users through Stores > Configuration > Advanced > Admin > Security. This enhancement provides greater security flexibility while maintaining existing password policies. The validation is enforced both during admin user creation/modification and configuration saves, with real-time frontend validation for improved user experience.",https://github.com/magento/magento2/commit/47721be6,"",Admin UI,true
ACP2E-4049,Unknown IPNs from PayPal abuses application IPN processor,"The IPN handler now ignores unsupported or unknown IPN types. Instead of returning a 500 error, it logs the issue and continues processing without interruption.",https://github.com/magento/magento2/commit/6dd3fa99,"",Payments,true
ACP2E-4052,Date filter issue when admin interface language is Japanese,"Birthday filter and column will use the unified format M/d/y, same as ""Customer Since"" filter/column",https://github.com/magento/magento2/commit/52f46328,"",Admin UI,true
ACP2E-4053,Scope is showing different Store View during Preview for scheduled update products and category,"Previous to this fix the preview link for categories and products did not generate for the correct store. After this fix, the preview link will automatically select the store on which the preview was created on.","","",Staging & Preview,true
ACP2E-4054,Validation error for Catalog Price rule discount amount field in Scheduled Update,"Previously, before fixing this issue, for the schedule update for the catalog price rule, if the discount amount is by_fixed then it was not validated properly because of the validation-number-range rule. After this fix has been applied, the validation works properly for fixed price catalog price rule.",https://github.com/magento/magento2/commit/6dd3fa99,"",Catalog,true
