Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components
AC-12299,Object Manager not used for Magento\Csp\Model\Mode\Data\ModeConfigured,https://github.com/magento/magento2/issues/38875,"The system now correctly uses the Object Manager when creating the ModeConfigured object, allowing plugins to be used on this object. Previously, the Object Manager was not being used, preventing plugins from being applied to the ModeConfigured object.",<https://github.com/magento/magento2/pull/38886>,Framework
AC-12432,Ui Component File Field,https://github.com/magento/magento2/issues/38908,"The system now correctly validates the file field in a UI component form, allowing the form to be submitted without error when a file is selected. Previously, the validation would fail even when a file was selected, preventing the form from being submitted.",<https://github.com/magento/magento2/pull/39004>,UI Framework
AC-12479,Terms and conditions checkbox is not allowing HTML on storefront,"","The system now supports HTML formatting in the ""Terms and Conditions"" checkbox text on the storefront, allowing for enhanced customization and readability. Previously, the checkbox text was displayed in plain text format, ignoring any HTML tags used.",<https://github.com/magento/magento2/commit/6cfb9b6b>,Cart & Checkout
AC-12540,Inaccurate doc block comment in Product Stock and Price Alerts,https://github.com/magento/magento2/issues/38939,"The doc block comment for the deleteCustomer method in the Product Stock and Price Alerts has been corrected to accurately reflect that the method deletes all stock product or price alerts associated with a given customer and website, not the customer from the website. Previously, the comment inaccurately stated that the method was for deleting a customer from the website.",<https://github.com/magento/magento2/pull/39001>,Framework
AC-12541,Cart price rule created for logged in user incorrectly gets applied for not logged in user,https://github.com/magento/magento2/issues/38944,"The system now correctly removes the cart price rule for logged-in users when they are automatically logged out due to cookie expiration, ensuring that the discount is not applied to non-logged-in users. Previously, the cart price rule was still applied even when the user was logged out, resulting in an incorrect discount being applied to non-logged-in users.",<https://github.com/magento/magento2/commit/7d5e3906>,Cart & Checkout
AC-12645,[Issue] Improved date format in js console: switch from 12 hour to 24 hour fo…,https://github.com/magento/magento2/issues/38983,Improved date format in js console: switch from 12 hour to 24 hour,<https://github.com/magento/magento2/pull/38972>,UI Framework
AC-12650,[Issue] add sourceMap generation for less files in developer mode,https://github.com/magento/magento2/issues/38982,"The system now generates source maps for less files when in developer mode, making it easier to identify the source of a style. Previously, identifying the source of a style was challenging when running the system in developer mode with server-side less compilation.",<https://github.com/magento/magento2/pull/38977>,UI Framework
AC-12692,Widget category tree is not rendered correctly,https://github.com/magento/magento2/issues/39008,"",<https://github.com/magento/magento2/commit/58e40ceb>,Content
AC-12731,CSP issues combined with dev/css/use_css_critical_path,https://github.com/magento/magento2/issues/39020,"The system now correctly loads CSS files asynchronously on checkout pages, even when the 'dev/css/use_css_critical_path' setting is enabled, ensuring that these pages are rendered with the proper CSS styles. Previously, a restricted Content Security Policy (CSP) prevented inline JavaScript from executing, which resulted in CSS files not being loaded as expected.",<https://github.com/magento/magento2/pull/39040>,Other Developer Tools
AC-12857,PHP 8.2.15 removed FTP extension,https://github.com/magento/magento2/issues/39083,"The system now includes the FTP extension as a dependency in the composer.json file, ensuring the successful configuration of CSV imports via FTP. Previously, an error was thrown when attempting to configure CSV imports via FTP due to the FTP extension being missing in the PHP package.",<https://github.com/magento/magento2/commit/47b448e2>,Framework
AC-12938,"UPS REST ""sandbox"" and ""prod"" setup instruction updates in devdoc","","","",Shipping
AC-12964,Ability to define Area for dev:di:info CLI command,https://github.com/magento/magento2/issues/38758,"The system now allows developers to define an area for the dev:di:info CLI command, enhancing the development and debugging process. Previously, this command could only display information for the GLOBAL area.",<https://github.com/magento/magento2/pull/38759>,Framework
AC-13000,Login as customer opt-in checkbox not translatable,https://github.com/magento/magento2/issues/32329,"The system now allows the ""Login as Customer opt-in checkbox"" and ""Login as Customer checkbox tooltip"" fields to be set at the ""Store view"" scope, enabling translations for different store views. Previously, these fields were only set at the ""Website"" scope, preventing translations for individual store views.",<https://github.com/magento/magento2/pull/32359>,Account
AC-13053,"Getting ""Enter a search term and try again."" error on advanced search page in storefront in 2.4.8-beta1","","The system now correctly displays search results on the Advanced Search page when a product attribute is set to ""No"". Previously, setting a product attribute to ""No"" and performing a search would result in an error message, ""Enter a search term and try again.""",<https://github.com/magento/magento2/commit/3ea26621>,Search
AC-13054,"Unable to see ""Using Default value"" message when changing the theme in design configuration page","","The system now includes a separate column to display the ""Using Default value"" message depending on the selected theme in the design configuration page. This ensures clarity and visibility of the default value status. Previously, the ""Using Default value"" message was not displayed, leading to confusion about the status of the selected theme.",<https://github.com/magento/magento2/commit/47b448e2>,Content
AC-13060,"Customer Segment > Condition > Product History* > ""product was viewed"" does not work","","The system now correctly displays matched registered customers in the ""Product was viewed"" condition under Customer Segments, when the condition is met. Previously, even when the condition was met, the count of matched registered customers remained at zero.","",Customer/ Customers
AC-13068,Dropdown options missing,"","The system now correctly displays all values in the dropdown when creating a new attribute with more than 20 values. Previously, only the first 20 values or another selected page values were displayed, causing the remaining values to be missing.",<https://github.com/magento/magento2/commit/47b448e2>,Catalog
AC-13131,"[Issue] Fix Warning: Undefined array key ""filters""",https://github.com/magento/magento2/issues/39013,"The system now handles scenarios where a new user has not interacted with bookmarks yet, preventing an undefined array key ""filters"" warning from being logged. Previously, this warning would be logged when a fresh user had not interacted with bookmarks.",<https://github.com/magento/magento2/pull/38996>,Admin UI
AC-13173,[Issue] Fix typo in PHPDoc block,https://github.com/magento/magento2/issues/38961,"The system now correctly removes an unknown referenced variable in PHPDoc for the $helper variable declaration, enhancing code clarity and accuracy. Previously, this unknown referenced variable in PHPDoc was causing confusion and potential inaccuracies in the code.",<https://github.com/magento/magento2/pull/38940>,Product
AC-13242,Magento upgrade fails on MariaDB 11.4 + 2.4.8-beta1,"",Upgrade should happened without any error.,<https://github.com/magento/magento2/commit/7b336d0a>,Install & Administer
AC-13247,setup:upgrade is failing with MariaDB 11.4 version due to charset & collation changes,"","","",Framework
AC-13279,[Issue] Remove all marketing get parameters to minimize the cache,https://github.com/magento/magento2/issues/39266,"The system now removes all marketing get parameters to optimize cache utilization, mirroring the logic used when Varnish is in use. Previously, these parameters could lead to cache bloating and reduced performance.",<https://github.com/magento/magento2/pull/39099>,Framework
AC-13296,[Issue] Use current sore id for category runtime cache,https://github.com/magento/magento2/issues/39310,"The system now correctly uses the current store ID for category runtime cache, preventing data override when emulation is used or custom code saves the category in different stores. Previously, the object stored in runtime might have been from the wrong store, leading to data override.",<https://github.com/magento/magento2/pull/36394>,Catalog
AC-13302,[Issue] [FEATURE] Performance optimisation large shopping carts by preventing…,https://github.com/magento/magento2/issues/39292,"The system now optimizes performance for large shopping carts by preventing duplicate getActions calls, enhancing the speed and efficiency of shopping cart operations. Previously, for a shopping cart with multiple items, the getActions function was called multiple times, slowing down the system's performance.",<https://github.com/magento/magento2/pull/39290>,Cart & Checkout
AC-13321,Magento Exception thrown in some order related test cases,"","The system now correctly handles the 'sendGuestPaymentInformation' step in various test cases, preventing Magento exceptions from being thrown. Previously, these exceptions were occurring due to a null payment method, causing failures in several test cases.","",Bundle
AC-13324,bin/magento sampledata:deploy --no-update throws an exception,https://github.com/magento/magento2/issues/39344,"The system now correctly accepts a boolean value when using the --no-update option in the sampledata:deploy command, preventing any errors during sample data deployment. Previously, an error was thrown when using this command as the system was incorrectly expecting an integer value.",<https://github.com/magento/magento2/pull/39345>,Catalog
AC-13345,[Issue] [PHPDOC] Fix bad phpdoc Magento\Directory\Model\AllowedCountries::getAllowedCountries(),https://github.com/magento/magento2/issues/39246,"The PHPDoc for the AllowedCountries::getAllowedCountries() method has been corrected to provide accurate information, enhancing the clarity and usefulness of the documentation. Previously, the PHPDoc for this method contained incorrect information, which could lead to confusion or misuse of the method.",<https://github.com/magento/magento2/pull/39241>,Framework
AC-13348,[Issue] Removes some code for PHP versions we no longer support.,https://github.com/magento/magento2/issues/39361,Removal of code for PHP versions that no longer getting supported in Magento,<https://github.com/magento/magento2/pull/39202>,Framework
AC-13355,[Issue] Fix usage of EAV cache type,https://github.com/magento/magento2/issues/32322,"The system now correctly uses the EAV cache type in all relevant places, ensuring consistent and efficient data caching. Previously, the EAV cache type was not used consistently, leading to potential inefficiencies and inconsistencies in data caching.",<https://github.com/magento/magento2/pull/31264>,Catalog
AC-13362,[Issue] PHPDoc correction spelling,https://github.com/magento/magento2/issues/31399,"The system now correctly recognizes deprecated methods in IDEs due to a spelling correction in the PHPDoc. Previously, a spelling error in the PHPDoc caused IDEs to not recognize certain methods as deprecated.",<https://github.com/magento/magento2/pull/31398>,Test framework
AC-13398,"Using virtual type to configure plugin, interceptor method cannot be generated correctly in setup:di:compile command",https://github.com/magento/magento2/issues/33980,"The system now correctly generates interceptor methods when using a virtual type to configure a plugin, ensuring consistent results whether precompiled or runtime compiled. Previously, the system would generate incorrect results when precompiled compared to runtime compilation.",<https://github.com/magento/magento2/pull/38141>,Other Developer Tools
AC-13417,[Issue] Make ImageMagick Adapter compatible with php8 (Implicit conversion from float to int),https://github.com/magento/magento2/issues/39402,"The system now ensures compatibility with PHP8 by correctly handling float numbers when calculating image dimensions, preventing any errors due to implicit conversion from float to int. Previously, the calculation of image dimensions could result in float numbers, which when implicitly rounded, would cause an error.",<https://github.com/magento/magento2/pull/37362>,Framework
AC-13423,[Issue] Fixed broken Bundle and Downloadable product pages layout in Magento >= 2.4.7,https://github.com/magento/magento2/issues/39403,"The layout for bundle and downloadable product pages has been fixed, ensuring a consistent and correct display across all devices. Previously, these pages experienced layout issues due to a rearrangement of the product info media block.",<https://github.com/magento/magento2/commit/6cfb9b6b>,Product
AC-13459,"Inconsistent Behavior in ""Out of Stock"" Sorting with Minimum Stock Threshold","","The system now correctly sorts products in the catalog based on stock levels, adhering to the set Minimum Stock Threshold and moving out-of-stock items to the bottom of the list consistently. Previously, the sorting behavior was inconsistent, with items not always appearing in the correct order based on their stock levels, and changes in sorting could occur unpredictably after saving, refreshing, or modifying the category hierarchy.",<https://github.com/magento/magento2/commit/47b448e2>,UI Framework
AC-13471,Support for Symfony's CommandLoaderInterface in Magento CLI,https://github.com/magento/magento2/issues/29266,This change reduces initialization time of the Magento CLI app by allowing deferred initialization of commands until they're needed.,<https://github.com/magento/magento2/pull/29355>,Performance
AC-13472,Suggestion for improved error reporting for require.js loading problems,https://github.com/magento/magento2/issues/36761,This PR improves the error message when requirejs fails to load a component.,<https://github.com/magento/magento2/pull/38971>,UI Framework
AC-13478,MAGETWO-95118: Checking behaviour with the persistent shopping cart after the session is expired,"","",<https://github.com/magento/magento2/commit/7d5e3906>,Test framework
AC-13501,2.4.8-beta102 package Enterprise edition is failing with application exceptions,"","","",B2B
AC-13520,Transaction Authorization Not Displayed in Transaction Tab After PayPal Smart Button Order,"","The system now correctly displays the transaction authorization in the Transaction tab after an order is placed using the PayPal Smart Button. Previously, the authorization transaction was not appearing in the Transaction tab after clicking the ""Authorize"" button, and no new transaction of type ""Authorization"" was created.",<https://github.com/magento/magento2/commit/6cfb9b6b>,"Admin UI, Payment/ Payment Methods, Order"
AC-13529,Product import csv file with special characters fails due to code changes in Validate.php file,"","The system now correctly validates and imports product CSV files containing special characters, allowing for successful data transfer. Previously, attempting to import a product CSV file with special characters would result in an error, preventing the import process.",<https://github.com/magento/magento2/commit/6cfb9b6b>,Admin UI
AC-13537,[Issue] [PHPDOC] Fix bad phpdoc Magento\Framework\App\Config\ScopeConfigInterface,https://github.com/magento/magento2/issues/39492,This update corrects the PHPDoc annotations in the Magento\Framework\App\Config\ScopeConfigInterface to accurately reflect the type of the $scopeCode argument for the getValue and isSetFlag methods.,<https://github.com/magento/magento2/pull/39199>,Framework
AC-13569,[Issue] Restores backwards compatibility with TinyMCE plugins again (after it…,https://github.com/magento/magento2/issues/39262,"The system now restores backward compatibility with TinyMCE plugins, allowing functions defined inside the plugin to be called when using the widget from another location. Previously, due to a change in the TinyMCE version, the plugins were not returning the widgets as an object, resulting in an error when trying to call certain functions on the widget instance.",<https://github.com/magento/magento2/pull/39258>,Content
AC-13596,Catalog Advanced Search with empty data goes to search result page[2.4.dev branch],"","The system now correctly retains users on the Advanced Search page and displays an error message when they attempt to perform a search without entering any data. Previously, performing an empty search would redirect users to the Catalog Advanced Search page with a message prompting them to modify their search.",<https://github.com/magento/magento2/commit/6cfb9b6b>,Catalog
AC-13716,Integration tests are failed Magento\NegotiableQuote\Controller\Quote\DownloadTest::testCompanyManagerDownloadWithNQSubPermission,"","","",Test framework
AC-13721,magento/module-open-search depends on on nonexistent opensearch-php branch,"","",<https://github.com/magento/magento2/commit/05dc0bbf>,Search
AC-13750,Grand Total and base grand total are not matching with test result steps,"","","",Sales
AC-13751,Second Cart Price Rule isn't applied if First Cart rule is already applied,"","","",Sales
AC-13767,"When the Max Number of Password Reset Requests""  is set greater than 0 eg: 3 , ""Exceeding limit error messages are sent before reching the limit i.e from second time","","","",Admin UI
AC-13768,"Though the Max Number of Password Reset Requests""  is set to 0( diabled) , ""Exceeding limit error messages are sent from 2nd time""","","","",Admin UI
AC-13786,White border is not getting remover after disabling product_image_white_borders for custom theme,"","","",Catalog
AC-13797,Gift registry link isn't working properly,"","","",Cart & Checkout
AC-13816,Unable to enable b2b feature in backend admin for the first time,"","","",B2B
AC-13817,unable to see products on cart when b2b all features are enabled,"","","","B2B, Cart & Checkout"
AC-2341,"""select"" custom customer address attribute does not render for new customer address",https://github.com/magento/magento2/issues/34950,"","","Account, Cart & Checkout"
AC-7962,No link to shipping when in payments in checkout in mobile phone view,https://github.com/magento/magento2/issues/36856,"The system now ensures that the checkout titles/links ""Shipping"" and ""Review & Payments"" are always visible on top of the page in mobile view, allowing users to easily navigate between steps and make necessary corrections. Previously, these titles/links were hidden in mobile view, making it difficult for users to know their current step or go back to previous steps.",<https://github.com/magento/magento2/pull/36982>,Admin UI
AC-8109,customer Orders query shipment comments created_at is returned in +0 timezone not in store configured timezone,https://github.com/magento/magento2/issues/36947,"The system now correctly displays the 'created_at' field from shipment comments in the customer's configured timezone when using the customer Orders query. Previously, the 'created_at' field was displayed in the +0 timezone, regardless of the customer's configured timezone.",<https://github.com/magento/magento2/pull/37642>,Admin UI
AC-8499,Region text field is not reset when country dropdown is changed,"","The system now resets the region text field when the country is changed in the dropdown menu, ensuring that previous values do not persist. Previously, changing the country from the dropdown list did not reset the region field, causing the last saved value to be preserved.",<https://github.com/magento/magento2/commit/3ea26621>,Customer/ Customers
AC-8662,[Issue] Improve cron error logging,https://github.com/magento/magento2/issues/37453,"The system now captures and logs both STDERR and STDOUT for cron processes, providing valuable diagnostic information in scenarios where cron processes fail. Previously, any error messages within cron processes were not recorded, and STDERR and STDOUT for cron groups running in separate processes were lost.",<https://github.com/magento/magento2/pull/32690>,Framework
AC-9168,[Issue] Remove unnecessary scripts review summary,https://github.com/magento/magento2/issues/37776,"The system now optimizes page load time by removing unnecessary JavaScript scripts from the rating section, instead using inline CSS styles for a more efficient and readable code. Previously, the use of JavaScript scripts for the rating section could potentially slow down page load time.",<https://github.com/magento/magento2/pull/34643>,UI Framework
AC-9240,Deleting Customer Does Not Clean All Browser Session Data on Storefront for Logged in & Deleted Customer,"","Deleting a customer now cleans all browser session data from the storefront for logged-in and deleted customers as expected. The shopper can continue shopping, and their browser treats their session as a guest session. Previously, when the customer account for a logged-in shopper was deleted from the Admin, then the shopper’s browser threw JavaScript errors.",<https://github.com/magento/magento2/commit/7d5e3906>,Customer/ Customers
AC-9922,Google Analytics CSP Error https://region1.analytics.google.com,https://github.com/magento/magento2/issues/37750,"The system now correctly allows connections to 'https://region1.analytics.google.com' when Google Analytics is enabled, preventing Content Security Policy (CSP) errors. Previously, enabling Google Analytics and viewing the website from the EU would result in CSP console errors due to a refusal to connect to 'https://region1.analytics.google.com'.",<https://github.com/magento/magento2/pull/38991>,Analytics / Reporting
ACP2E-2139,Products assigned to shared catalog are not reflect on the front end when partial index is executed,"","Products assigned to shared catalog via REST API are now immediately visible on storefront after partial indexing is complete. Previously, Products were visible only after a full re-indexation.",<https://github.com/magento/magento2/commit/7377de59>,B2B
ACP2E-2974,Translations for customer return attributes not reflected in GraphQL API for respective StoreView,"","Translations for customer return attributes are reflected in GraphQL API for respective StoreView.
Previously customer Return attributes for respective StoreView were not reflected in GraphQL API.",<https://github.com/magento/magento2/commit/ec7e32a9>,GraphQL
ACP2E-3038,Restricted admin users can't always see custom shared catalogs,"","Restricted admin users can now consistently view and manage customers and all shared catalogs to which the products are assigned, provided they have access to the specific store. Previously, a restricted admin user with access to a particular store could not always see all shared catalogs to which the products were assigned or could see customers that could not save, leading to inconsistencies in the system.",<https://github.com/magento/magento2/commit/7377de59>,"Account, Admin UI, B2B"
ACP2E-3063,[Cloud] Cache is not getting invalidated.,"","Previously, when saving a CMS page with an updated design layout, it did not reflect appropriately on the front end. After this fix is applied, the appropriate design layout will be visible at the front end when we change the design layout and save the CMS page.",<https://github.com/magento/magento2/commit/66dea0de>,"Catalog, Content"
ACP2E-3103,New Products RSS feed is not updated with new products due to cache,"",The Rss feed for New Products is now updated when a product is set as new and saved,<https://github.com/magento/magento2/commit/d01ee51e>,Catalog
ACP2E-3122,[CLOUD] Upload image button doesn't work,"","Before the Upload Image button for Banner and Slider from PageBuilder didn't work as expected, and now when pressing it opens the local file manager to select the wanted image to upload.",<https://github.com/magento/magento2-page-builder/commit/476ef8ea>,Content
ACP2E-3131,[Cloud] Anchor/Non-Anchor Categories Reversed in Content Widget,"","Previously, when we selected Display On -> Anchor Categories, it showed all the categories that did not reflect the parent-child relation between the anchor and non-anchor. After this fix is applied, the  Display On -> Anchor Categories only displays Anchor Categories (selectable), and  Display On -> Non Anchor Categories displays Non-Anchor Categories (selectable)",<https://github.com/magento/magento2/commit/7377de59>,"Catalog, Content"
ACP2E-3139,Sales Rule with Discount Qty Step (Buy X) attribute causes other rules to not be applied,"",Cart price rule does not cancel previously applied rules if quantity of the product in the cart is not enough for rule to be applied.,<https://github.com/magento/magento2/commit/d01ee51e>,Promotion
ACP2E-3143,PayPal order refund results in duplicate credit memo,"",Fixed concurrency issue of IPN-created credit memos for PayPal payment service.,<https://github.com/magento/magento2/commit/d01ee51e>,Payments
ACP2E-3146,GTM missing addToCart event in dataLayer for configurable product with custom option,"","Previously, the addToCart event was not being triggered for configurable products. Now, the event is properly added to the GTM dataLayer variable.","",Analytics / Reporting
ACP2E-3152,Categories not working with widgets,"","Previously, if we saved the CMS block for different anchor/non-anchor categories, it did not work for the child categories when it showed on the front end. After this fix has been applied, the block is shown at the front end for different categories.",<https://github.com/magento/magento2/commit/d01ee51e>,"Catalog, Content"
ACP2E-3163,Cart price rule not working for Paypal,"",Correct amount is shown on PayPal side when discount is applied by payment method,<https://github.com/magento/magento2/commit/7377de59>,Payments
ACP2E-3172,Import button missing,"",Resolve the Import button missing issue after data checks with correct and incorrect records in the CSV. Previously the import button doesn't display after data checks with correct and incorrect records in the CSV.,<https://github.com/magento/magento2/commit/1819fe73>,Import / export
ACP2E-3176,[Cloud] quick order large amount of SKU performance,"",Checkout performance has been improved when attributes used in cart price rules conditions are not present for all products and when MAP (Minimum advertised price) feature is enabled.,<https://github.com/magento/magento2/commit/66dea0de>,Cart & Checkout
ACP2E-3183,NewRelic browser monitoring inlineJS  script causes CSP errors,"","NewRelic Browser Monitoring scripts are now injected by the application instead of the APM agent for compliance with CSP (Content Security Policy). Previously, NewRelic Browser Monitoring scripts injected by APM agent were not compliant with CSP and caused the scripts to not be executed.",<https://github.com/magento/magento2/commit/66dea0de>,Analytics / Reporting
ACP2E-3187,Metric in NR might be misleading for background transactions- Follow up of ACP2E-3067,"",Background transactions (cron) will use New Relic app name defined in the config settings,<https://github.com/magento/magento2/commit/ec7e32a9>,"Analytics / Reporting, Cloud"
ACP2E-3189,INSERT queries to the sales_bestsellers_aggregated_daily table become slow on project with large sales order volume,"",Previously the bestsellers aggregated daily report would take a lot of time to generate for large volume of placed orders. Now the report is generated in a timely manner.,<https://github.com/magento/magento2/commit/7377de59>,Analytics / Reporting
ACP2E-3193,Fixed Product Tax (FPT) is not working with configurable products,"",FPT for configurable product variations working properly.,<https://github.com/magento/magento2/commit/ec7e32a9>,Tax
ACP2E-3195,Shipping address empty while placing an order for a gift registry item,"","Previously, for guest user gift-registry items, when returned from the email function, generated an empty blank address, which is incorrect for placing an order. After this fix is applied, the gift registry checks logged-in user/guest users and assigned addresses if they exist.","","Catalog, Shipping"
ACP2E-3198,[cloud] Two-finger zoom and move issue on the real mobile device,"","The system now ensures consistent image zoom functionality on mobile devices, providing a smooth and predictable user experience. Previously, the image zoom feature was inconsistent and would suddenly zoom out after a certain point when viewed on a mobile device.",<https://github.com/magento/magento2/commit/1366ae5e>,Catalog
ACP2E-3208,[Cloud] Users with a specific role cannot login,"",admin user with role that contain only PayPal Section access now can login without errors,<https://github.com/magento/magento2/commit/66dea0de>,Payments
ACP2E-3211,Duplicated items in cart,"","The system now correctly processes multiple parallel requests to add the same product to the cart into a single line item, preventing the creation of separate line items for the same SKU. Previously, making parallel requests to add the same product to the cart on Storefront would result in multiple line items for the same SKU.",<https://github.com/magento/magento2/commit/66dea0de>,Cart & Checkout
ACP2E-3215,[Cloud] Issue with User Authentication and Cross-Site Token Access in Multi-Site Setup,"","GraphQl Customer Info and Cart queries in Multi-Site setup checks if the customer on non-default website exists.
Previously query worked without making sure the customer exists on non-default website in Multi-Site setup.",<https://github.com/magento/magento2/commit/581b7ef1>,GraphQL
ACP2E-3230,Modifying column length via db_schema.xml doesn't work in case of foreign keys,"",modifying column with foreign key via declarative schema now doesn't rise errors with MariaDB,<https://github.com/magento/magento2/commit/581b7ef1>,Framework
ACP2E-3233,Admin can still place order even without payment method,"","Previously, the merchant could place orders from the admin panel without selecting a payment method. Now, the merchant is required a payment method to proceed with placing an order.",<https://github.com/magento/magento2/commit/fd5cf3af>,"Order, Payments"
ACP2E-3236,Async operation fails when the SKU is missing from the payload,"","Async and sync operations previously failed due to product save errors if sku is missing from payload. After the fix, the async and sync product save rest api operations fail with relevant exception message.",<https://github.com/magento/magento2/commit/66dea0de>,APIs
ACP2E-3246,Customer API - Login Failures Number Not Able To Reset To 0 After Successful Login,"",Now failure number is reset to zero in customer entity table after customer successful login through API endpoints.,<https://github.com/magento/magento2/commit/ec7e32a9>,"Account, APIs, GraphQL"
ACP2E-3247,sales_clean_quotes cron deletes quotes from to yet approved purchase orders,"",Quotes used in purchase orders now will not be deleted by sales_clean_quotes cron job,<https://github.com/magento/magento2/commit/581b7ef1>,B2B
ACP2E-3255,[GRAPHQL] model value should be specified when getting customerCart,"","The GraphQL 'customerCart' query can now create an empty cart even when the quote is not available in the database. Previously, this operation failed due to country validation issues while creating the empty cart.",<https://github.com/magento/magento2/commit/fd5cf3af>,GraphQL
ACP2E-3273,ReCaptcha V2 shows incorrectly on checkout for German language,"","Previously the recaptcha from under email address from checkout appear unstyled for languages with long words, like german. After this the recaptcha looks the same as all recaptcha elements from the rest of the areas.",<https://github.com/magento/magento2/commit/7377de59>,Security
ACP2E-3275,[Cloud] - CMS Slider not reflecting the latest changes,"","The issue has been fixed by ensuring the slider list gets refreshed while the save event is triggered on the edit slide screen. Previously, it was triggering and causing the issue.",<https://github.com/magento/magento2-page-builder/commit/ae2cdeb0>,Content
ACP2E-3276,Order reports showing the wrong currency symbol,"",The currency symbol for order amounts in the Order Report was incorrectly taken from currency/options/base. It has now been corrected to use currency/options/default for accurate reporting.,<https://github.com/magento/magento2/commit/fd5cf3af>,Analytics / Reporting
ACP2E-3282,"When we unassign products from the shared catalog, the wishlist products are not being cleared","","Now, no items are visible in the wishlist if a product is not available in the shared catalog. Previously, the wishlist page incorrectly displayed a count of ""1 Item"" even when no items were actually available in the wishlist.",<https://github.com/magento/magento2/commit/5184c067>,Catalog
ACP2E-3286,Related products Select All/Unselect All Issue,"","Previously, the ""Select All""/""Unselect All"" buttons for related products didn't work correctly if a product was manually selected. After the fix, these buttons now function consistently, even after manual selection, ensuring that all products are properly selected or unselected.",<https://github.com/magento/magento2/commit/fd5cf3af>,Catalog
ACP2E-3294,The shipping address state is not auto updating,"","Prior to the fix, the shipping address region (or region id) was not in sync with the address billing information. Now, both shipping address region and region id are properly updated when billing address information is changed.",<https://github.com/magento/magento2/commit/581b7ef1>,Admin UI
ACP2E-3296,Checkout order email confirmation is sent to emails entered in First/Last name,"","The checkout order email confirmation, which was previously sent when an email-like pattern was entered in the First and Last Name fields, is no longer being sent.",<https://github.com/magento/magento2/commit/5184c067>,Cart & Checkout
