Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components,is_magento
ACP2E-3540,Backend admin menu subtitles not displaying,"","All titles of the main menu groups will now be properly displayed. Previously, if the second or third column of the main menu contained only one group of links, the title of the group was not displayed.","",Admin UI,false
ACP2E-3541,"""Something went wrong"" error on checkout for inactive company","","Prior to the fix, the logout action was not being completed properly on the cart page, if the logged in user company was no longer enabled. Now, if the company is no longer available, the logout is performed properly.",https://github.com/magento/magento2/commit/df92debe,Cart & Checkout,true
ACP2E-3544,Async Bulk Operation remains in open state for async.magento.configurableproduct.api.optionrepositoryinterface.save.post,"","Bulk API endpoints will now throw an error if the request body is not an Array, thus requiring bulk item keys to be consecutive numbers starting from 0. Previously, bulk item status was not updated due to the arbitrary item key submitted in the bulk request.",https://github.com/magento/magento2/commit/9608ca21,APIs,true
ACP2E-3545,"Exception while adding ""Conditions Combination"" in Page Builder Products widget condition","","The issue has been fixed by adding a check to skip missing or incomplete conditions. Previously, this caused error logs to be generated due to the handling of incomplete conditions in the system.",https://github.com/magento/magento2/commit/11be3dff,Catalog,true
ACP2E-3558,Unable to upload image with relatively small width,"",The system no longer fails to resize image with relatively small width to its height.,https://github.com/magento/magento2/commit/9608ca21,Content,true
ACP2E-3563,Issue while moving the product qty to back to shopping cart from the admin,"","When creating an order from the admin, products in the customer cart on the sidebar will not disappear when added to the order.",https://github.com/magento/magento2/commit/c8ba4ab1,Admin UI,true
ACP2E-3621,[CLOUD] API REST bug on is_subscribed value not considering from the current store  using searchCriteria,"","API REST Customer query fetches the correct ""is_subscribed"" value from the correct store using searchCriteria
Previously the API REST Customer query did not consider store when fetching is_subscribed"" value.",https://github.com/magento/magento2/commit/9608ca21,APIs,true
ACP2E-3633,Browser crash when loading attribute set,https://github.com/magento/magento2/issues/38810,Browser no longer crashes on attribute set edit page if there are more than 4k product attributes,https://github.com/magento/magento2/commit/b12ffe36,Catalog,true
ACP2E-3646,"Addresses selection is not saved when we ""Check Out with Multiple Addresses""","","Prior to the fix when canceling the multishipping option, the address was not preselected when reverting back to multshipping. Now, the default address is replaced with one of the selections made within the multishipping screen.",https://github.com/magento/magento2/commit/6ea61121,Cart & Checkout,true
ACP2E-3657,Weak Password Management,"","The admin user cannot be saved when using the same password. Previously, it was saved successfully without a proper validation.",https://github.com/magento/magento2/commit/df92debe,"Admin UI, Security",true
ACP2E-3658,Admin displays incorrect currency symbol on when creating return,"","In a multi-website setup with different currencies (EUR/USD/GBP), the return product selection page in admin is now displaying the correct currency symbol. Previously, it displayed the default currency symbol.",https://github.com/magento/magento2/commit/df92debe,"Order, Pricing",true
ACP2E-3660,REST endpoint Product Import Json not validate the mandatory fields,"","Name field is now required when creating new products through the import process  (admin or API). Prior to the fix, you could have created new products without name, this would have broken the admin interface and created invalid products.",https://github.com/magento/magento2/commit/df92debe,Import / export,true
ACP2E-3662,gift_cards serialized data is inconsistent in the sales_order table,"","gift_cards data in sales_order table is now serialized correctly. Previously, it was serialized every time the order was updated.","",Order,false
ACP2E-3666,[Mainline] Cart Price rule is not respecting Multishipping,"","Prior to the implementation of this correction, the cart price rule for multi-shipping products did not apply correctly when sub-select conditions were applied and free shipping was enabled. However, since the correction was applied, the cart price rule for multi-shipping carts now functions as intended.",https://github.com/magento/magento2/commit/b12ffe36,"Cart & Checkout, Shipping",true
ACP2E-3669,[CLOUD] Product URL Rewrites Not Created for New Store: Go Live Blocker,"","Product URL Rewrites for New Store is successfully created. 
Previously operation ended with memory leak or with timeout.",https://github.com/magento/magento2/commit/df92debe,Catalog,true
ACP2E-3671,Previewing a scheduled update opens the first store view in alphabetical order instead of the store view of interest,"","Previous to the fix, the preview of a scheduled update opened in the first store view in alphabetical order instead of the assigned store view.
After the fix, the preview now correctly opens in the store view assigned to the CMS block staging update.",https://github.com/magento/magento2/commit/b12ffe36,Staging & Preview,true
ACP2E-3673,allow_parallel_generation should be set through environment variable,"","After the fix, the ""MAGENTO_DC_CACHE__ALLOW_PARALLEL_GENERATION"" environment variable can be used to set the ""allow_parallel_generation"" configuration.",https://github.com/magento/magento2/commit/b12ffe36,Framework,true
ACP2E-3674,Staging_apply_version Cron behavior issue -  special_price ignored,"","After the fix, quotes totals will be recalculated after changing special price by scheduled product update.","",Staging & Preview,false
ACP2E-3676,Exception while creating UPS shipping label,"",Fixed Warning: Array to string conversion during UPS shipping label creation,https://github.com/magento/magento2/commit/b12ffe36,Shipping,true
ACP2E-3679,Action logs for content staging,"","The Action Logs now will show the Staging Update activities. Previously, the Staging Update log was not recorded in the Admin Action Logs.","","Admin UI, Security, Staging & Preview",false
ACP2E-3688,Attribute Default Value for Options Not Working,"","Previously, when we changed the default value of a product select attribute, it appeared as an array element with the previous values. After this fix is applied, when we update a product attribute value it will save as a single element at eav_attribute table.",https://github.com/magento/magento2/commit/520f9e30,Catalog,true
ACP2E-3699,Incorrect Gift Card Code URL in the email when purchased in from the secondary website,"","Previously, the multi-store setup and gift card for non-default stores always redirected the gift card claim to the default website. After this fix is applied, the email will redirect the gift card claim link to the correct scope or website.","","Cart & Checkout, SEO",false
ACP2E-3704,Gift Card validation fails when editing due to thousand separator,"",Fixed issue with gift card product type saving when the gift card amount is 1000 and more.,"",Catalog,false
ACP2E-3709,[Cloud] Changing table column type from Int to Decimal using db_schema.xml file In Magento 2 Results In Errors,"","Changing the column data type is not working correctly. Previously, it throws an error: The attribute 'identity' is not allowed.",https://github.com/magento/magento2/commit/df92debe,Framework,true
ACP2E-3720,Missing Website Filter Option in Export Process,"",It is now possible to filter products by websites when creating products export.,https://github.com/magento/magento2/commit/520f9e30,Import / export,true
ACP2E-3721,Category Permissions module possibly preventing caching,"",3rd party controllers now cached correc tly with customer segments,"",Performance,false
ACP2E-3727,The grand total calculation does not including the Tax amount,"",Order contains correct totals when places from existing Purchase Order with Cross Border Trade enabled.,"",B2B,false
ACP2E-3728,Store Pickup not respecting maximum search radius when address is changed at checkout,"","Now pre-selected store in ""Pick in Store"" will update if the shipping address changes. Previously, once a store was pre-selected, it did not change even if the new shipping address is not within the radius of the selected store",https://github.com/magento/inventory/commit/07620383,Inventory / MSI,true
ACP2E-3734,Incorrect config path for remote storage path style configuration,"","After the fix, setting the remote storage path style configuration will impact the actual AWS S3 path style configuration.",https://github.com/magento/magento2/commit/df92debe,Content,true
ACP2E-3744,async.operations.all can create multiple entries for 1 SKU,"",Concurrent requests to save and update the same product are now serialized to prevent race conditions  which may result in data inconsistency or duplicated products,https://github.com/magento/magento2/commit/520f9e30,APIs,true
ACP2E-3752,Duplicate of AC-13913 - Static attribute cleaning asynchronously.,"","After the fix, there is no 'Undefined array key ""apply_to""' error when numerous instances of the \Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType are created.",https://github.com/magento/magento2/commit/520f9e30,Import / export,true
ACP2E-3774,Concurrent Calls to Reorder GraphQL API - Same Products Added to Different Rows,"","Fixes the issue where concurrent calls to the Reorder GraphQL API result in the same products being added as different rows, leading to data inconsistencies.",https://github.com/magento/magento2/commit/c8ba4ab1,GraphQL,true
ACP2E-3781,"Exception ""Cannot create rendition for media asset paths"" during image insertion","","After removing the values of the Maximum Width and Maximum Height of the Media Gallery Image Optimization configuration, the error is not occurred any more during the image optimization process.",https://github.com/magento/magento2/commit/520f9e30,"Admin UI, Content",true
ACP2E-3785,updateCustomerEmail GraphQL mutation(Change email Address) doesn't trigger the email Notification,"","Previously, email was not sent to customers after successfully updating their email addresses on their accounts. After the fix has been applied, customers now receive email notifications after successfully updating their email addresses.",https://github.com/magento/magento2/commit/c8ba4ab1,GraphQL,true
ACP2E-3790,New currency (XCG) support in Adobe,"",Caribbean Guilder (XCG) is added to the currencies list.,https://github.com/magento/magento2/commit/520f9e30,Framework,true
ACP2E-3791,[Cloud] Delete operation is forbidden for current area error during customer account creation,"","After the fix saving a customer with an invalid address returns a message describing the reason for invalidity instead of irrelevant ""Delete operation is forbidden for current area"".",https://github.com/magento/magento2/commit/6ea61121,Account,true
ACP2E-3796,Unassigning categories in a B2B shared catalog via the REST API is slow,"","Now the performance is significantly improved when unassigning categories in B2B. Previously, it took a long time to unassign categories in the B2B shared catalog.","",B2B,false
ACP2E-3805,Dynamic Attribute Not Updating in Gift Registry via updateGiftRegistry Mutation,https://mcstaging.briscoes.co.nz/,"Previously, before this fix through the updateGiftRegistry mutation, the custom attribute of the gift registry was not modified or updated through GraphQL mutations. After this fix has been applied, the dynamic attribute of the gift registry can successfully be updated through the updateGiftRegistry mutation.","",GraphQL,true
ACP2E-3850,Performance issue with new Setup Patch in B2B,"","Fixes the performance issue where upgrading the Magento_Company module after updating to B2B 1.5.2 took an excessively long time when processing a large number of records (~100,000+) in the company_structure table.","",B2B,false
ACPLTSRV-6383,[Packaging] Fix magento/magento-coding-standard dependency+ page-builder,"","","",Packaging,false
