Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components
AC-13725,Magento\Framework\Filesystem\Driver\Http depends on reason phrase OK,https://github.com/magento/magento2/issues/39546,"Removed ""OK"" phrase check from Magento\Framework\Filesystem\Driver\Http::isExists",<https://github.com/magento/magento2/pull/39558>,Framework
AC-13810,Customer Grid indexer does not work properly in Update by Schedule mode,"",Earlier Customer grid was updated instantly but after the fix Customer grid is updated after cron run but not reflect instantly.,<https://github.com/magento/magento2/commit/1da9ba6f>,Framework
AC-13839,Reorder with a deleted parent configurable product,https://github.com/magento/magento2/issues/39568,Now while reordering with the deleted product the system will not show the reorder button to reorder,<https://github.com/magento/magento2/pull/39601>,Order
AC-13841,Gift registry Product isn't displaying properly,"","","",Cart & Checkout
AC-13848,Fix static tests to enable usage by 3d-party extensions,"","",<https://github.com/magento/magento2/commit/9e383b4d>,Test framework
AC-13850,There is no red asterisk for mandatory phone number field,"",Earlier red asterisk was not showing for phone number but  phone number was mandatory. Which is now fixed red asterisk can be seen on phone number as a mandatory filed.,<https://github.com/magento/magento2/commit/c699c206>,Admin UI
AC-13922,Unable to create shipment for order item with multiple sources and corrupted SKU,"",Earlier when spaces  was mistakenly added  in sku  through database leads to error in shipment page which is now fixed and automatic trim is considered as human friendly error and no impact was found .Therefore shipment was successfully created.,<https://github.com/magento/inventory/commit/c18eb5fa>,Inventory / MSI
AC-13924,[Issue] Fix bad \Magento\Sales\Model\Order\Email\Container\Template::$id property,https://github.com/magento/magento2/issues/39151,"This fixes the bad phpdoc for \Magento\Sales\Model\Order\Email\Container\Template::$id, actually $id is type int but in reality is string.",<https://github.com/magento/magento2/pull/39150>,Order
AC-14004,PHP 8.4 Deprecation Errors Causing Build Failures in 2.4-develop,"","",<https://github.com/magento/magento2/commit/1da9ba6f>,UI Framework
AC-3223,Special characters in category url_key (when created via REST API),https://github.com/magento/magento2/issues/35577,Earlier In category_url_key special character is not there after the fix it  is showing special character in category_url_key,<https://github.com/magento/magento2/commit/c699c206>,APIs
AC-9111,Order get(Shipments|Creditmemos|Invoice)Collection - Collection should not be loaded,https://github.com/magento/magento2/issues/37561,"The system now ensures that the collections for shipments and credit memos are not pre-loaded when retrieved from an order, allowing for additional filters or orders to be applied to these collections. Previously, these collections were automatically loaded, preventing any further modifications.",<https://github.com/magento/magento2/pull/37562>,"Catalog, Framework"
ACP2E-3334,[Internal] Fixture apply failure is not shown during execution or in logs,"",'-,<https://github.com/magento/magento2/commit/d4de4726>,Test framework
ACP2E-3373,Magento admin URL routing wrong detection and CORS errors,https://github.com/magento/magento2/issues/37663,"After the fix, if the custom admin domain is a subdomain of the main domain, the admin is accessible only from the configured subdomain.",<https://github.com/magento/magento2/commit/3f12d152>,Admin UI
ACP2E-3383,Incorrect url_rewrite entries creation with multiple stores in one store group,"","Prior to the fix, you could only generate URL rewrites on a website level when editing a product. With the fix, a new setting was introduced (Stores > Configuration > Catalog > Catalog > Search Engine Optimization, ""Product URL Rewrite Scope"" with options ""Store view"", ""Website"") that allows you to generate URL rewrites at the store view or website level.",<https://github.com/magento/magento2/commit/2d627301>,SEO
ACP2E-3415,Cart persistence is not being respected upon logout,"",Added missing functionality Remember Me from customer login to authentication popup and checkout sign ins.,<https://github.com/magento/magento2/commit/344fce23>,Cart & Checkout
ACP2E-3428,Pagebuilder's template preview failure for large content,"","Large content was leading to canvas element overflowing the browser's limits, and returning incorrect value, which broke backend code (cannot properly decode the image). Fixed with limiting canvas size to the universal browser's limit.",<https://github.com/magento/magento2-page-builder/commit/adfb1747>,Content
ACP2E-3455,Duplicated URL key error message generated when importing a product is not correct when the URL Key already belongs to a category,"","Displaying the correct error message during product import check, when customer tried to import product when product's url key already belongs to a category.",<https://github.com/magento/magento2/commit/d4de4726>,Import / export
ACP2E-3460,Order items are not visible in credit memo emails for the API POST V1/order/:orderId/refund,"","Previously, before this fix, when a customer creates a credit memo from an API request notifying send_email, it does not contain the product details grid. After this fix apply the customer sends a credit memo API request, and will find the product item details appearing in the email.",<https://github.com/magento/magento2/commit/3f12d152>,APIs
ACP2E-3470,Issue with Bundle Product + MSI in Clean M2.4.7-p3,https://github.com/magento/magento2/issues/39358,"Previously, for inventory bundle products after duplication with the same simple product, the simple product can not be saved. After this fix is applied, the simple product can be saved successfully without any exceptions.",<https://github.com/magento/inventory/commit/0208e433>,Inventory / MSI
ACP2E-3472,[CLOUD] Shipping calculation is not considering the shopping cart rule,"","Prior to the fix, a cart rule with region condition was not being applied consistently. After the fix, cart rules with region conditions are being applied properly.",<https://github.com/magento/magento2/commit/d4de4726>,Promotion
ACP2E-3483,TinyMCE 7 editor font size in the admin in PT and not PX please clarify,"",Prior to the fix you could not specify font size in px in WYSIWYG areas. Now you can set the font size in px instead of pt.,"<https://github.com/magento/magento2/commit/3f12d152>, <https://github.com/magento/magento2-page-builder/commit/20aa5d7a>",Content
ACP2E-3490,Product Content Type in Page Builder Gets Collapsed Without Correct Messages,"","Prior to the fix the preview html was not being generated properly when there were no products in the widget. Now, the empty response is properly generated and products widget is being displayed fine in preview.","<https://github.com/magento/magento2/commit/3f12d152>, <https://github.com/magento/magento2-page-builder/commit/20aa5d7a>",Content
ACP2E-3491,Cart rule sku condition is failing for invoice.,"","Discount on Bundle product with dynamic price is now correctly reflected in the invoice. Previously, the discount was not reflected on the invoice.",<https://github.com/magento/magento2/commit/3f12d152>,Promotion
ACP2E-3492,[Cloud] Problems with Graphql API,"","Before the fix by using Graphql application server, customer address request did not return the most recent data.",<https://github.com/magento/magento2/commit/3f12d152>,GraphQL
ACP2E-3495,"When a gift registry item is purchased, the customer sees items not on their registry","",Gift registry update no longer includes items that do not belong to the gift registry.,"",Cart & Checkout
ACP2E-3501,VAPT: Business Logic Error - future date as customer date of birth,"",Customer's date of birth can not be set later than today,<https://github.com/magento/magento2/commit/d4de4726>,Account
ACP2E-3503,Automatic enabling of new ACL permissions,"",New permissions added to custom modules will no longer automatically grant access to all existing user roles unless explicitly configured.,<https://github.com/magento/magento2/commit/3f12d152>,Admin UI
ACP2E-3505,"Disabled product still appears in related, upsell, crosssell items in grpahQL query","","Graphql now provide correct response for disabled relared, upsell and cross-sell products",<https://github.com/magento/magento2/commit/d4de4726>,GraphQL
ACP2E-3509,Admin Actions Log User Report doesnt show details for adminhtml_user_delete,"","The adminhtml_user_delete now correctly logs important details. Previously, logs were not generated for user deletions.",<https://github.com/magento/magento2/commit/4de008a9>,Admin UI
ACP2E-3510,"[Cloud] Issue with ""Remove All"" Confirmation Popup Removing Cart Items Without Confirmation","","Now, clicking the ""Remove All"" button for attention-required products prompts a confirmation popup to ensure items are only removed with your confirmation. Previously, items were removed immediately without any confirmation","",Cart & Checkout
ACP2E-3513,[CLOUD] Special price not showing in Configurable product,"","After the fix, changing the ""Used in Product Listing"" value for the special price attribute will not affect showing the special price for configurable products.",<https://github.com/magento/magento2/commit/d4de4726>,Catalog
ACP2E-3518,Items are duplicated after we create an order from Admin on - Mozilla Firefox browser,"","Products added using ""Add Products by SKU"" are no longer duplicated in Firefox when creating an order in admin.","",Order
ACP2E-3527,[Cloud] Import Processes Interfering with Each Other,"",Correct messages are shown if the same admin user performs two or more import operations using the same user session.,<https://github.com/magento/magento2/commit/d4de4726>,Import / export
ACP2E-3532,Sitemap Generation Warnings,"","After the fix, the sitemap is generated in the system tmp directory and copied to the final destination.",<https://github.com/magento/magento2/commit/d4de4726>,Cloud
ACP2E-3533,Performance Issue in Stock Quantity Retrieval for Grouped Products with Multiple Sources,"",Grouped product and bundle product edit page is now optimized when assigned products have large number of inventory sources.,<https://github.com/magento/inventory/commit/0208e433>,Catalog
ACP2E-3534,[page builder]Adding Product Listing to block results in errors,"",Now adding Bundle Product Listing to block via page builder doesn't results in errors,<https://github.com/magento/magento2/commit/344fce23>,Content
ACP2E-3536,Cart Rule with shipping condition not applying when placing order from admin,"","Previously, if the cart price rule has a shipping method discount with the coupon, it can not be applied through Admin UI. After this fix is applied, the cart price rule discount with a coupon for a specific shipping method will be applied from Admin UI successfully.","<https://github.com/magento/magento2/commit/a52ff98f>, <https://github.com/magento/inventory/commit/11ce816b>",Admin UI
ACP2E-3537,"Corresponding cache key entries are not available in cache tags, hence cache cleaning does not work correctly","",LUA mode is now enabled by default for Redis cache garbage collector to prevent race conditions,<https://github.com/magento/magento2/commit/a52ff98f>,Framework
ACP2E-3541,"""Something went wrong"" error on checkout for inactive company","","Prior to the fix, the logout action was not being completed properly on the cart page, if the longged in user company was no longer enabled. Now, if the company is no longer available, the logout is performed properly.","",Cart & Checkout
ACP2E-3559,[FRESH] HEX code is not updating correctly in SWATCH,"","HEX code that is manually entered by user in the Visual Swatch color picker is no longer altered by the system. Previously, certain HEX codes experienced slight adjustments due to conversion errors between color models.","<https://github.com/magento/magento2/commit/344fce23>, <https://github.com/magento/inventory/commit/1ef984c0>",Admin UI
ACP2E-3561,Customer Segment edition fails with daterange,"","It is possible to save customer segment with date range condition, when only one of dates was edited.",<https://github.com/magento/magento2/commit/a52ff98f>,UI Framework
ACP2E-3562,No error message displayed for our of stock products when bulk adding from requisition list,"","Prior to the fix a success message was being displayed regardless of the number of products that failed to be added to the cart. Now, separate messages are being displayed for products there were successfully added to the cart and for products that failed.","",B2B
ACP2E-3618,[CLOUD] Re-order button functionality,"",Re-orderind an order from the administrator area will now add products with stock to the quote even though there are some products in the original order that do not have stock anymore. Prior to the fix no products were being added to the new quote if product with no stock were in the original order.,<https://github.com/magento/magento2/commit/a52ff98f>,Cart & Checkout
ACP2E-3622,Search stores are not working by zip code,"","Searching pickup locations by zip code was not working properly for Dutch localisations. After the fix, the pickup location search will provide results based on zip code.",<https://github.com/magento/magento2/commit/344fce23>,Cart & Checkout
ACP2E-3628,Issue with SKU Updates after Scheduled Updates Causing Incorrect Product Permissions (-2 Deny),"",Modifying a product's SKU with past scheduled updates no longer causes the product to be inaccessible to the shared catalog customers entitled to see the product.,"",B2B
ACP2E-3631,Adobe Commerce 2.4.7-p3 unit tests are failing,"",No release notes are required.,<https://github.com/magento/magento2/commit/982b1c42>,Other Developer Tools
ACP2E-3641,Refix https://jira.corp.adobe.com/browse/ACP2E-3389,"",Improved performance of admin category page in case of large number of anchor categories,<https://github.com/magento/magento2/commit/982b1c42>,Catalog
ACP2E-3647,[CLOUD]: GraphQl error Internal server error placeOrder mutation,"","The ""placeOrder"" mutation with coupon code information in the request is no longer throwing an internal error exception, the order was placed successfully. Previously, it failed with ""Internal server error"".",<https://github.com/magento/magento2/commit/982b1c42>,GraphQL
ACP2E-3653,Incorrect canonical URL for category when page > 1,"","Previously, the canonical URL for multi-page content did not function correctly, consistently displaying the base URL. However, after the fix was implemented, the canonical URL for multi-page content now correctly displays the URL with the page ID.",<https://github.com/magento/magento2/commit/982b1c42>,"Catalog, SEO"
ACP2E-3681,MAGENTO_DC_INDEXER__USE_APPLICATION_LOCK value is ignored,"","After the fix, an ENV variable set to ""false"" will be treated as bool false, not as string 'false'.",<https://github.com/magento/magento2/commit/982b1c42>,Framework
BUNDLE-3394,[Braintree] Refund online storing transaction as transactionid-refund,"","","",Other
BUNDLE-3421,[Braintree] + [CLOUD] Braintree (credit card) orders unable to split the charges,"","","",Other
BUNDLE-3422,[Braintree] [Cloud]Braintree SSL Certificate expire by June 30,"","","<https://github.com/magento/ext-braintree/pull/211>, <https://github.com/magento/ext-braintree/pull/212>, <https://github.com/magento/ext-braintree/pull/213>, <https://github.com/magento/ext-braintree/pull/215>",Other
LYNX-603,Product attribute > trademark short form ™ is returned as &trade;,"",Resolved character encoding issue with the product name for the GraphQL API,"",Other
LYNX-619,updateCustomerEmail mutation issue,"",Resolved an issue with the updateCustomerEmail mutation where customers without required custom attributes (added after account creation) were unable to update their email.,"",Other
LYNX-620,"GQL - itemsV2 > Original row total, price range prices is returned as $0.00 for downloadable product with file options which has separate prices.","","Resolved an issue where downloadable products with separate link purchase options enabled were returning $0 for itemsV2 > Original row total, price range returned as $0.00 for products with file options having separate prices.","",GraphQL
LYNX-626,Mutation setShippingAddressesOnCart throws error when using pickup_location_code,"",Fixed an issue where the setShippingAddressesOnCart mutation returned an error when using pickup_location_code without specifying customer_address_id or address. The mutation now correctly allows setting a shipping address with just the pickup_location_code.,"",Other
LYNX-627,CustomerOrder.items_eligible_for_return list must be consistent with order items,"","Resolved inconsistencies with return eligibility in orders:
	1.	The CustomerOrder.items_eligible_for_return list is now consistent with actual order items.
	2.	The OrderItemInterface.eligible_for_return field correctly returns false when the full quantity has already been returned.
	3.	CustomerOrder.items_eligible_for_return now includes only items that are not already in the process of being returned.","",Other
LYNX-628,Add quantity_return_requested field,"","Added the quantity_return_requested field to the OrderItemInterface, allowing you to identify the quantity of items for which a return has been submitted. This enhances return tracking alongside the existing quantity_returned field.","",Other
LYNX-634,Order available actions must not contain RETURN after returns created for all items in full quantity,"",Fixed an issue where the available_actions field in the GraphQL customer.orders query incorrectly included RETURN after a full return was created for all items. The RETURN action is now properly removed once the return process is completed.,"",Other
LYNX-637,Storefront Compatibility - Update logic to get table name with prefix and other minor improvements,"",Updated logic to retrieve the table name with the prefix (related to SCP changes).,"",Other
LYNX-643,save in address book does not work when using setBillingAddressOnCart GQL's same_as_shipping field,"","Fixed an issue where the shipping address was not saved to the customer’s address book when using the setBillingAddressOnCart GraphQL mutation with the same_as_shipping field set to true. Now, the shipping address is correctly stored as expected.","",Other
LYNX-650,Standarize the order_id in mutations,"",Standardized the order_id input in mutations and updated the order cancel confirmation email template to expose increment id instead of order id.,"",Other
LYNX-651,CustomerOrder is not displaying the order comments,"",Resolved an issue with CustomerOrder to include order comments in guest and customer order GraphQL queries.,"",Other
LYNX-652,original_item_price must not include any discount,"",Updated the logic for original_item_price in GraphQL Cart Item prices to exclude discounts.,"",Other
LYNX-681,"Bundle products still shows ""IN_STOCK"" when one of its bundled product out of stock","","Resolved an issue where product.stock_status for bundle products still showed ""IN_STOCK"" even when one of the bundled items was out of stock.","",Other
LYNX-686,customer query returns Internal Server Error if value for deleted custom attribute exists for a customer,"","Fixed the issue where the customer query returned an internal server error when a deleted custom attribute still had a stored value. Now, a proper error message is returned if a non-existing attribute is requested. Necessary cache is invalidated upon deleing customer custom attribute.","",Other
LYNX-687,Action parameter for return and cancel confirmation links,"",Action parameter added for return and cancel confirmation email related links,"",Other
LYNX-688,Guest user confirmation url is redirected to order status page as it is missing orderRef (For GuestRMA),"",Added orderRef parameter to the link in guest RMA confirmation email,"",Other
LYNX-689,Guest user confirmation url is redirected to order status page as it is missing orderRef,"",Added orderRef parameter to the link in guest order cancellation confirmation email,"",Other
LYNX-690,Issues with customer query when RMA disabled,"","Updated the GraphQL logic to ensure that previously created returns remain accessible even when RMA is disabled globally. The error message has been removed to improve the storefront UX, ensuring customers can still view their past returns.","",Other
LYNX-696,GraphQL not returning updated cart data when conflicting coupons applied,"","Fixed an issue where applying a conflicting coupon with a higher priority resulted in an error message without returning the updated cart data. Now, when a new coupon invalidates the existing one, the mutation correctly returns the cart with the valid coupon applied.","",Other
LYNX-699,"Cannot return null for non-nullable field ""TaxItem.title"" on placeOrder GQL","","Fixed an issue where the placeOrder mutation failed with an internal server error due to a null value for the non-nullable field TaxItem.title. Now, the field always returns a valid value, ensuring successful order placement.","",Other
LYNX-702,EstimateTotals: Discounts is null for virtual product types,"",Resolved the issue with the estimateTotals mutation returning null for discounts when a discount code is applied to a cart containing virtual products.,"",Other
LYNX-703,Bundle product does not return the correct discount percentage and amount,"","New properties ""catalog_discount"" and ""row_catalog_discount"" have been introduced for catalog item prices to display the correct discount amounts and percentages at both the row and single item levels.","",Other
LYNX-711,Schema of a table when is created brand new different than when upgrading,"",Resolved an issue where adding a new VARCHAR column to an existing table caused test failures due to schema differences between fresh installations and upgrades. The modifyColumn() method now correctly handles VARCHAR columns by setting the default charset and collation.,"",GraphQL
LYNX-714,Gift message configuration on product level,"","Fixed an issue where gift messages were not applied at the product level when globally disabled. Now, if gift messages are enabled for a specific product, they can be successfully added using the updateCartItems mutation and will be correctly saved and reflected.","",Other
LYNX-717,Issue with removing gift wrapping from cart item,"","Fixed the issue where removing gift wrapping from a cart item using the updateCartItems mutation did not work as expected. Now, both applying and removing gift wrapping function correctly without errors.","",Other
LYNX-751,"The matched registered customer feature is not working in Boilerplate, and the trackViewedProduct mutation needs to be enabled for guests.","",Exposed trackViewedProduct mutation to track product view event for customer and guests,"",Other
LYNX-757,cart.rules query return error instead of empty array in case no active cart rules are applied,"",Fixed the cart.rules query to return an empty array instead of an error when no active cart rules are applied.,"",Other
LYNX-758,Issue retrieving gift wrappings for cart items,"",Updated retrieval logic to return gift wrapping options for cart items when globally disabled but enabled at the product level,"",Other
LYNX-772,GraphQl Compatibility for PHP-8.4 Version,"","Fixed GraphQL compatibility issues with PHP 8.4 across multiple resolvers, ensuring smooth functionality. Updated affected files in CatalogRule, Customer, GiftMessage, GiftCard, and GiftWrapping modules.","",GraphQL
LYNX-778,GraphQL calls with OPTIONS method are returning 500 response code when adobe-commerce/storefront-compatibility package installed,"",Fixed an issue where GraphQL calls using the OPTIONS method returned a 500 Internal Server Error when the adobe-commerce/storefront-compatibility package was installed. The endpoint now correctly returns a 200/204 response as expected.,"",Other
