Issue key,Summary,Custom field (Release Note),Custom field (External Issue URL),Custom field (Git Pull Request),Components,is_magento
AC-12268,Upgrade league/flysystem Composer dependencies to latest version,Upgrade the 2.x league/flysystem Composer dependencies to latest version 3.x,,,Framework,TRUE
AC-12346,Security Improvements for 2.4.8-beta1 from October 2024 release,,,,Security,FALSE
AC-12480,Elasticsearch 7 and 8 options should come with Deprecated in Admin config.,Elasticsearch 8 option in Admin Config option will show with Deprecated text to inform users that Elasticsearch 8 is no longer recommended option to use.,,<https://github.com/magento/magento2/commit/0611e750>,Other,TRUE
AC-12481,Add text note when Elasticsearch option is selected in Admin Configuration,A text note is added to let Adobe Commerce admin users know that elasticsearch is no longer supported by Adobe and is deprecated.,,<https://github.com/magento/magento2/commit/0611e750>,Other,TRUE
AC-12576,Investigate the automation tests failures with MySQL 8.4 LTS,,,<https://github.com/magento/magento2/commit/672a2e61>,Framework,TRUE
AC-12595,Add compatibility with MariaDB 11.4 LTS For EE,Added MariaDB 11.4 support with Adobe Commerce and extensions,,<https://github.com/magento/magento2/commit/b34c0a75>,Framework,TRUE
AC-12693,Investigate on Data Migration tool (DMT) with MySQL 8.4 LTS,,,,Framework,FALSE
AC-12715,Update laminas composer dependencies upgrading to latest version,"The system now supports the latest versions of laminas composer dependencies:
laminas/laminas-servicemanager
laminas/laminas-server
laminas/laminas-stdlib
laminas/laminas-validator
ensuring compatibility and up-to-date functionality. Previously, updating to the latest versions of these dependencies could cause backward incompatibility issues and test failures.",,<https://github.com/magento/magento2/commit/b34c0a75>,Framework,TRUE
AC-12726,[2.4.8-beta1] TinyMCE 5 migration to TinyMCE 7,"Migrated TinyMCE 5 to TinyMCE 7.3.0 to be a supported version for Adobe Commerce, previously system was using 5.10.2 which was out dated and reported security vulnerability",,<https://github.com/magento/magento2/commit/edcd0dcc>,UI Framework,TRUE
AC-12752,Add compatibility with MariaDB 11.4 LTS For Data Migration tool,Added MariaDB 11.4 support with Adobe Commerce and extensions,,,Framework,FALSE
AC-12823,Investigate the unit test failure due to phpunit patch update during component upgrade,,,<https://github.com/magento/magento2/commit/b34c0a75>,Framework,TRUE
AC-12825,[2.4.8-beta1] TinyMCE 5 migration to TinyMCE 7 Page Builder,"Migrated TinyMCE 5 to TinyMCE 7.3.0 to be a supported version for Adobe Commerce, previously system was using 5.10.2 which was out dated and reported security vulnerability",,<https://github.com/magento/magento2/commit/edcd0dcc>,UI Framework,TRUE
AC-12844,[2.4.8-beta1] TinyMCE 5 migration to TinyMCE 7 - Magento2-infra - banned words,"Migrated TinyMCE 5 to TinyMCE 7.3.0 to be a supported version for Adobe Commerce, previously system was using 5.10.2 which was out dated and reported security vulnerability",,<https://github.com/magento/magento2/commit/edcd0dcc>,UI Framework,TRUE
AC-12870,SVC and EAT tool compatibility with MariaDB 11.4,SVC and EAT tool compatibility with MariaDB 11.4,,,Other,FALSE
AC-12876,UCT tool compatibility with MariaDB 11.4,,,,Other,FALSE
AC-12897,SVC and EAT tool compatibility with MySQL 8.4,,,,Framework,FALSE
AC-12898,UCT tool compatibility with MySQL 8.4,"The Upgrade Compatibility Tool (UCT) is now compatible with MySQL 8.4, ensuring smooth operation and compatibility checks for instances running on this version. Previously, the UCT tool was not tested and verified for compatibility with MySQL 8.4.",,,Framework,FALSE
AC-12901,Require.js upgrade to the latest version 2.3.7 (security vulnerability CVE-2024-38999),Updated require.js to the latest version 2.3.7. In previous version reported security vulnerability,,<https://github.com/magento/magento2/commit/b34c0a75>,UI Framework,TRUE
AC-13221,Incorporate the JWT ID (jti) into JWTs,,,,Security,FALSE
AC-13222,Move HIPAA logging expansion into default EE,,,,Security,FALSE
AC-6819,"Set indexers to ""Update by Schedule"" by default",,,,Install & Administer,FALSE
AC-9749,PHPUnit 10 upgrade,"Updated the phpunit/phpunit composer dependencies to compatible version - ""phpunit/phpunit"":""10.x""",,,Framework,FALSE
ACP2E-2709,[Feature Request] Customer suggests that Submit Comment Button on Order Details page is confusing and should be changed to something else,"In order to minimize the confusion, the ""Submit Comment"" button label changed to ""Update"" in the order detail page.",,<https://github.com/magento/magento2/commit/488c1034>,Order,TRUE
ACP2E-3368,UCT 3.0.19 Release,NA,,,Other Developer Tools,FALSE
ACP2E-3420,UCT 3.0.20 Release,NA,,,Other Developer Tools,FALSE
ACP2E-3683,UCT 3.0.21 Release,NA,,,Other Developer Tools,FALSE
LYNX-374,Document Email Confirmation via GraphQL,Added documentation for the implementation of email confirmation via GraphQL.,,,Other,FALSE
LYNX-376,Document getting configurations for reCAPTCHA in GraphQL,,,,Other,FALSE
LYNX-409,DB Query Optimizations for Update Cart Items Mutation,"Optimized database operations for the Update Cart Items mutation to reduce latency and improve performance. The number of database commits has been reduced from seven to a more efficient number through configuration and code changes, improving the overall performance of the operation.",,,Other,TRUE
