Issue key,Custom field (Release Note),Summary,Custom field (External Issue URL),Custom field (Git Pull Request),Components,is_magento
AC-14558,"Due to the end-of-support risk associated with RabbitMQ 4, Adobe Commerce has initiated a strategic migration to Apache ActiveMQ Artemis to ensure long-term stability and support for its message queue infrastructure.
Adobe Commerce now supports the latest version of Apache ActiveMQ Artemis across release lines 2.4.9, 2.4.8, 2.4.7 and 2.4.6.
Compatibility with RabbitMQ 4 is retained to support customers who prefer to stay on the existing MQ service.
ActiveMQ is now fully supported on Adobe Commerce Cloud, including AWS ActiveMQ for Cloud Native deployments.
ActiveMQ STOMP configuration supported for queue consumers and publishers.
This migration ensures Adobe Commerce remains on a supported, stable, and scalable MQ framework, reducing risk from RabbitMQ’s unpredictable support lifecycle and improving long-term platform health.",Migration form RabbitMQ to Apache ActiveMQ,"","",Framework,false
AC-14568,"Due to the end of support for TinyMCE 5 and 6 and licensing incompatibilities with TinyMCE 7, The current implementation of Adobe Commerce WYSIWYG editor is migrated from TinyMCE to the open-source HugeRTE editor (https://hugerte.org/). 
This migration ensures Adobe Commerce remains compliant with open-source licensing, avoids known TinyMCE 6 vulnerabilities, and delivers a modern, supported editing experience for merchants and developers.",Migrate from TinyMCE to Hugerte.org,"","",Framework,false
AC-14604,"Adobe Commerce 2.4.9 has a full CLI commands support for Valkey, mirroring currently existing Redis functionality. Admin and cloud configuration updated to allow seamless Valkey setup.
This update ensures Adobe Commerce remains future-proof and performant by supporting Valkey, giving merchants and developers a reliable alternative to Redis as it approaches end-of-life.",Add Full Valkey 8.x support for 2.4.9-alpha2,"","",Framework,false
AC-15133,The chart.js dependency is upgraded to the latest version 4.5.0,Upgrade chart.js dependency to the latest version,"",https://github.com/magento/magento2/commit/657f983e,Framework,true
AC-15160,"Adobe Commerce has introduced a native MVC implementation, replacing the legacy Laminas MVC, to ensure long-term compatibility and stability beyond PHP 8.5. This change strengthens performance, reduces external dependencies, and provides a more future-ready foundation for Commerce",Migration from Laminas MVC,"","",Framework,false
AC-15170,"As part of the Adobe Commerce 2.4.9 platform updates, all Symfony dependencies used by the magento/composer package have been updated to the latest Symfony LTS 7.4 versions. This aligns Commerce’s Composer tooling with the current Symfony LTS line and removes previous dependency constraints related to older Symfony versions. In addition all custom classes extending Symfony core classes have updated type declarations and method signatures aligned with the latest Symfony requirements before upgrading to Adobe Commerce 2.4.9. This will prevent compatibility issues and ensure a smooth transition to the updated framework components.",Add official support for Symfony 7.4 LTS and PHP 8.5 in Adobe Commerce 2.4.9,"",https://github.com/magento/magento2/commit/c127d10b,Framework,true
AC-15461,"This release enhances the Magento_NewRelicReporting module to support New Relic’s NerdGraph (GraphQL) Change Tracking API while fully preserving the existing REST v2 deployment marker integration. The change delivers richer deployment metadata, regional endpoint support (US/EU), and configurability through Admin settings without breaking existing setups.",Migration New Relic from REST v2 to NerdGraph (GraphQL),"","",Framework,false
AC-15615,"Starting with Adobe Commerce 2.4.9, the platform is fully compatible with PHP 8.5, while retaining support for PHP 8.4 and allowing PHP 8.3 for upgrade-only scenarios. This work modernizes core code, dependencies, and tools so merchants can safely move to newer PHP versions ahead of PHP 8.4 end of support, maintaining PCI compliance and long-term platform health.",PHP 8.5 Compatibility for Adobe Commerce 2.4.9,"","",Other,false
AC-15758,"Starting with Adobe Commerce 2.4.9, PHP 8.2 is no longer supported. The platform now targets PHP 8.3 and later PHP versions, with core code, dependencies, and tooling updated to run cleanly and reliably on PHP 8.4 and 8.5.",Remove PHP 8.2 support and ensure the compatibility with PHP 8.3 and latest PHP versions,"","",Other,false
AC-15823,"Starting with Adobe Commerce 2.4.9, the deprecated Zend_Cache component has been replaced by the Symfony Cache component. This update enhances cache performance, maintainability, and ensures long-term compatibility with PHP 8.x and future platform updates. Existing cache backends and cache management commands remain fully supported, with no changes required for current integrations.",Replacing Zend_Cache with symfony/cache component,"","",Other,false
AC-16245,"In Adobe Commerce 2.4.9, when CAPTCHA (or reCAPTCHA) is enabled for the Create Account form, the same CAPTCHA validation is now enforced for customer account creation via REST and GraphQL APIs.",Captcha / reCaptha is not working for API / GraphQl,"",https://github.com/magento/magento2/commit/fd7f30ee,Other,true
AC-8253,"Admin users are now required to configure only one of the merchant’s enabled 2FA providers (for example, Google Authenticator or U2F) to access the Admin panel. Additional enabled providers can be configured later as needed. Previously, when multiple 2FA providers were enabled (e.g., Google Authenticator and U2F), every Admin user was required to configure all enabled providers before they could sign in. This created friction for users who did not have access to all factors (such as a hardware key for U2F).",Only require one enabled 2FA provider to be configured per user,"",https://github.com/magento/security-package/commit/71e7936b,Security,true
ACP2E-3397,"The staging preview feature in the admin panel now enables browser-simulated mobile device previews to be rendered accurately, providing a visual representation of how the staging update will appear on a mobile device.",[Feature Request] Content staging preview in mobile view,"",https://github.com/magento/magento2/commit/520f9e30,Staging & Preview,true
ACP2E-4358,"Updating product via REST API in a store scope no longer causes product images and videos from inheriting changes from global scope if the media_gallery_entries is omitted from the payload or set to NULL to prevent any changes in the product gallery in that scope. Additionally, it is now possible to restore scope inheritance for product images and video via REST API by setting the corresponding field to NULL",Adding a possibility to keep inheritance of product gallery in REST API when updating a product in store view level,"",https://github.com/magento/magento2/commit/f7bbcb4e,APIs,true
BUNDLE-3459,"In Adobe Commerce 2.4.9, customers can now vault their Google Pay cards via the account area when Google Pay Vault is enabled in Braintree. Vaulted cards appear under stored payment methods, can be used for future purchases at checkout, and can be deleted by the customer. This extends vaulting support beyond Cards and PayPal to Google Pay.",Vaulting Google Pay via the Account Area,"","",Braintree,false
BUNDLE-3461,"In Adobe Commerce 2.4.9, a Braintree Portal Link is now added to the order details in the Magento Admin. Clicking the link opens the related transaction in the Braintree Portal (in a new tab), using the Merchant ID and Transaction ID from the Magento order. This allows direct cross-referencing without logging into both systems separately.",Link Magento Order to Braintree Portal Order,"","",Braintree,false
BUNDLE-3462,"The Real Time Account Updater (RTAU) feature in Adobe Commerce 2.4.9 for Braintree ensures that vaulted Visa, Mastercard, and Discover card details are automatically updated when cards expire or are replaced. This minimizes failed payments, keeps Magento Vault current, and skips unsupported types (prepaid, Apple Pay, Google Pay) without errors.",Real Time Account Updater (RTAU),"","",Braintree,false
BUNDLE-3464,"In Adobe Commerce 2.4.9, support for the ELO card type has been added to Braintree Payments. Admins can now enable ELO in the credit card configuration, and customers can successfully place orders using ELO cards at checkout, ensuring seamless transactions through Braintree.",ELO Card type support for Braintree Card Payments,"","",Braintree,false
BUNDLE-3475,"For Adobe Commerce 2.4.9 (Braintree extension), a new local payment method “Pay Upon Invoice” has been added for German buyers. Pay Upon Invoice is a Buy Now, Pay Later (BNPL) option powered by PayPal + Ratepay (“Rechnungskauf mit Ratepay”) that lets customers receive goods first and pay the invoice within 30 days, without needing a PayPal account. Because it’s not an instant payment, order finalisation is driven by a server-side webhook from PayPal.",Pay Upon Invoice,"","",Braintree,false
BUNDLE-3476,"For the Braintree extension in Adobe Commerce 2.4.9, the Google Pay Express Pay Sheet now supports promo/offer codes. Shoppers can apply, view, and remove Magento cart promotions directly within the Google Pay sheet, ensuring express checkout customers receive the same discounts and incentives as standard checkout flows.",Add offers to the Google Pay Express Pay Sheet,"","",Braintree,false
BUNDLE-3477,"For the Braintree extension in Adobe Commerce 2.4.9, the Apple Pay Express Pay Sheet now supports promo/offer codes. Shoppers can apply a coupon directly within the Apple Pay sheet, so express checkout users benefit from the same discounts and campaigns as standard checkout flows.",Add Offers to the Apple Pay Express Pay Sheet,"","",Braintree,false
BUNDLE-3478,"For the Braintree extension in Adobe Commerce 2.4.9, Apple Pay can now be used on Chrome and Firefox, not just Safari. When Apple Pay Express is enabled, Apple Pay buttons are available across supported storefront locations, and customers complete payment by scanning a code with their iPhone.",Pay with Apple Pay on Chrome and Firefox,"","",Braintree,false
BUNDLE-3479,"For the Braintree extension in Adobe Commerce 2.4.9, the PayPal Express shipping callback has been moved from client‑side to server‑side. This provides dynamic shipping methods, real‑time cost calculations, and accurate cart‑level details directly in the PayPal modal, improving reliability and laying the groundwork for future features such as Contact Module support, app‑switch flows, and Venmo Express.",Server Side Shipping Callback,"","",Braintree,false
BUNDLE-3480,"For the Braintree extension in Adobe Commerce 2.4.9, a new PayPal Contact Module is introduced for U.S. merchants. When enabled, buyers using PayPal Express can view and update the email address and phone number shared with the merchant directly inside the PayPal modal during express flows (PDP, mini‑cart, cart, checkout express). The chosen contact details are then stored on the Adobe Commerce order.",PayPal Contact Module,"","",Braintree,false
BUNDLE-3481,"For the Braintree extension in Adobe Commerce 2.4.9, BLIK has been added as a new local payment method for Polish shoppers. This enables secure, bank-based BLIK payments within the existing Braintree Local Payment Methods (LPM) flow, improving checkout convenience and conversion for customers in Poland.",BLIK (Local Payment Method),"","",Braintree,false
BUNDLE-3485,"For the Braintree extension in Adobe Commerce 2.4.9, the Content Security Policy (CSP) has been updated to support the latest Cardinal (3‑D Secure) integration requirements. This ensures that all Cardinal-hosted scripts, iframes, and related resources used during 3‑D Secure flows are allowed by the browser’s CSP, preventing blocked requests and broken challenge/verification experiences.",Cardinal Integration Update CSP Policy,"","",Braintree,false
BUNDLE-3493,"The Braintree payment extension has been updated to support the latest PHP 8.5 runtime, while maintaining compatibility with PHP 8.4.",braintree branch should be updated with PHP 8.5 support,"","",Other,false
